,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,IOC,2015-01-01,2015-12-30,56.08,70.98,1783,26566.70000000001,26566.70000000001,26.56670000000001
1,2015,2,HINDUNILVR,2015-01-01,2015-12-30,758.45,857.45,131,12969.0,39535.70000000001,19.767850000000006
2,2015,3,SRF,2015-01-01,2015-12-30,175.28,253.91,570,44819.1,84354.80000000002,28.118266666666674
3,2015,4,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,146735.5,36.683875
4,2015,5,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,143560.75,28.712149999999998
5,2015,6,CHOLAFIN,2015-01-01,2015-12-30,94.6,128.35,1057,35673.75,179234.5,29.872416666666666
6,2015,7,NESTLEIND,2015-01-01,2015-12-30,6317.95,5839.85,15,-7171.499999999992,172063.0,24.580428571428573
7,2015,8,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,185172.25,23.14653125
8,2015,9,VEDL,2015-01-01,2015-12-30,219.25,91.95,456,-58048.799999999996,127123.45000000001,14.12482777777778
9,2015,10,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,131066.65000000002,13.106665000000003
10,2015,11,AXISBANK,2015-01-01,2015-12-30,503.05,455.1,198,-9494.099999999999,121572.55000000002,11.052050000000001
11,2015,12,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,118802.70000000003,9.900225000000002
12,2015,13,MUTHOOTFIN,2015-01-01,2015-12-30,214.4,178.8,466,-16589.6,102213.10000000003,7.862546153846156
13,2015,14,APOLLOHOSP,2015-01-01,2015-12-30,1125.9,1462.15,88,29590.0,131803.10000000003,9.414507142857145
14,2015,15,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,132834.58000000002,8.855638666666668
15,2015,16,INDUSINDBK,2015-01-01,2015-12-30,812.0,968.55,123,19255.649999999994,152090.23,9.505639375000001
16,2015,17,KOTAKBANK,2015-01-01,2015-12-30,629.3,709.15,158,12616.300000000003,164706.53000000003,9.688619411764709
17,2015,18,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,150222.83000000002,8.345712777777779
18,2015,19,TRENT,2015-01-01,2015-12-30,148.29,175.83,674,18561.960000000014,168784.79000000004,8.883410000000001
19,2015,20,JINDALSTEL,2015-01-01,2015-12-30,156.55,94.85,638,-39364.60000000001,129420.19000000003,6.471009500000001
20,2015,21,HINDALCO,2015-01-01,2015-12-30,158.45,84.7,631,-46536.24999999999,82883.94000000003,3.9468542857142874
21,2015,22,ZYDUSLIFE,2015-01-01,2015-12-30,322.4,384.25,310,19173.500000000007,102057.44000000003,4.638974545454547
22,2015,23,BHARTIARTL,2015-01-01,2015-12-30,333.21,305.85,300,-8207.999999999987,93849.44000000005,4.0804104347826105
23,2015,24,HDFCBANK,2015-01-01,2015-12-30,476.02,537.15,210,12837.3,106686.74000000005,4.445280833333335
24,2015,25,HEROMOTOCO,2015-01-01,2015-12-30,3105.4,2712.95,32,-12558.400000000009,94128.34000000004,3.7651336000000013
25,2015,26,HCLTECH,2015-01-01,2015-12-30,401.7,420.25,248,4600.400000000003,98728.74000000005,3.797259230769233
26,2015,27,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,90851.89000000006,3.364884814814817
27,2015,28,SHRIRAMFIN,2015-01-01,2015-12-30,1102.35,850.6,90,-22657.49999999999,68194.39000000007,2.435513928571431
