,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,MCDOWELL-N,2015-01-01,2015-12-30,563.66,584.92,177,3763.0199999999986,3763.0199999999986,3.7630199999999987
1,2015,2,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,-4113.829999999998,-2.056914999999999
2,2015,3,ONGC,2015-01-01,2015-12-30,229.37,159.93,435,-30206.399999999998,-34320.229999999996,-11.440076666666666
3,2015,4,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,-59832.46999999999,-14.958117499999995
4,2015,5,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,2548.2300000000105,0.509646000000002
5,2015,6,UPL,2015-01-01,2015-12-30,227.73,289.97,439,27323.360000000015,29871.590000000026,4.978598333333338
6,2015,7,MOTHERSON,2015-01-01,2015-12-30,89.96,87.01,1111,-3277.4499999999875,26594.14000000004,3.7991628571428624
7,2015,8,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,23824.29000000004,2.978036250000005
8,2015,9,SRF,2015-01-01,2015-12-30,175.28,253.91,570,44819.1,68643.39000000004,7.627043333333338
9,2015,10,TATACONSUM,2015-01-01,2015-12-30,150.7,146.35,663,-2884.049999999996,65759.34000000004,6.575934000000004
10,2015,11,EICHERMOT,2015-01-01,2015-12-30,1526.24,1652.98,65,8238.1,73997.44000000005,6.727040000000003
11,2015,12,ABB,2015-01-01,2015-12-30,1301.5,1113.4,76,-14295.599999999993,59701.840000000055,4.975153333333338
12,2015,13,TECHM,2015-01-01,2015-12-30,648.64,525.15,154,-19017.460000000003,40684.38000000005,3.1295676923076963
13,2015,14,NTPC,2015-01-01,2015-12-30,118.71,120.88,842,1827.1400000000015,42511.52000000005,3.036537142857146
14,2015,15,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,38111.27000000005,2.5407513333333362
15,2015,16,APOLLOHOSP,2015-01-01,2015-12-30,1125.9,1462.15,88,29590.0,67701.27000000005,4.231329375000003
16,2015,17,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,53217.57000000004,3.1304452941176493
17,2015,18,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,62653.55000000005,3.4807527777777807
