,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,SHRIRAMFIN,2015-01-01,2015-12-30,1102.35,850.6,90,-22657.49999999999,-22657.49999999999,-22.657499999999988
1,2015,2,HDFCBANK,2015-01-01,2015-12-30,476.02,537.15,210,12837.3,-9820.19999999999,-4.910099999999995
2,2015,3,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,-5306.19999999999,-1.7687333333333297
3,2015,4,POWERGRID,2015-01-01,2015-12-30,77.31,79.51,1293,2844.6000000000035,-2461.5999999999863,-0.6153999999999966
4,2015,5,SUNPHARMA,2015-01-01,2015-12-30,822.2,810.15,121,-1458.0500000000084,-3919.6499999999946,-0.783929999999999
5,2015,6,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,-18403.350000000002,-3.0672250000000005
6,2015,7,BAJAJFINSV,2015-01-01,2015-12-30,128.66,194.63,777,51258.69,32855.34,4.69362
7,2015,8,SBIN,2015-01-01,2015-12-30,314.0,225.8,318,-28047.599999999995,4807.740000000002,0.6009675000000002
8,2015,9,ONGC,2015-01-01,2015-12-30,229.37,159.93,435,-30206.399999999998,-25398.659999999996,-2.8220733333333325
9,2015,10,DLF,2015-01-01,2015-12-30,137.4,113.9,727,-17084.5,-42483.159999999996,-4.248316
10,2015,11,BAJAJHLDNG,2015-01-01,2015-12-30,1407.1,1650.1,71,17253.0,-25230.159999999996,-2.2936509090909087
11,2015,12,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,-28404.909999999996,-2.367075833333333
12,2015,13,JSWSTEEL,2015-01-01,2015-12-30,106.59,102.75,938,-3601.9200000000033,-32006.829999999998,-2.462063846153846
13,2015,14,MARUTI,2015-01-01,2015-12-30,3340.75,4587.2,29,36147.049999999996,4140.2199999999975,0.2957299999999998
14,2015,15,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,-260.02999999999884,-0.017335333333333258
15,2015,16,TATAMOTORS,2015-01-01,2015-12-30,493.16,393.45,202,-20141.420000000006,-20401.450000000004,-1.2750906250000003
16,2015,17,BAJFINANCE,2015-01-01,2015-12-30,349.97,597.42,285,70523.24999999999,50121.79999999998,2.948341176470587
17,2015,18,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,63231.04999999998,3.51283611111111
18,2015,19,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,99486.32999999999,5.236122631578946
19,2015,20,INFY,2015-01-01,2015-12-30,493.6,543.15,202,10009.099999999991,109495.42999999998,5.474771499999999
20,2015,21,ITC,2015-01-01,2015-12-30,244.77,217.7,408,-11044.560000000009,98450.86999999997,4.688136666666665
21,2015,22,IOC,2015-01-01,2015-12-30,56.08,70.98,1783,26566.70000000001,125017.56999999998,5.682616818181818
22,2015,23,KOTAKBANK,2015-01-01,2015-12-30,629.3,709.15,158,12616.300000000003,137633.87,5.984081304347826
23,2015,24,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,147069.85,6.1279104166666665
24,2015,25,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,155571.40000000002,6.222856000000001
25,2015,26,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,174293.40000000002,6.703592307692309
26,2015,27,BAJAJ-AUTO,2015-01-01,2015-12-30,2452.15,2514.05,40,2476.0000000000036,176769.40000000002,6.5470148148148155
27,2015,28,TATAPOWER,2015-01-01,2015-12-30,82.15,67.75,1217,-17524.800000000007,159244.6,5.687307142857144
28,2015,29,NAUKRI,2015-01-01,2015-12-30,855.75,862.7,116,806.2000000000053,160050.80000000002,5.518993103448276
29,2015,30,TATASTEEL,2015-01-01,2015-12-30,40.43,25.86,2473,-36031.61,124019.19000000002,4.133973
30,2016,1,BAJAJFINSV,2016-01-01,2016-12-30,198.38,289.49,504,45919.44000000001,45919.44000000001,45.91944000000001
31,2016,2,GODREJCP,2016-01-01,2016-12-30,447.35,503.32,223,12481.309999999994,58400.75,29.200375
32,2016,3,M&M,2016-01-01,2016-12-30,632.67,592.35,158,-6370.55999999999,52030.19000000001,17.34339666666667
33,2016,4,CIPLA,2016-01-01,2016-12-30,655.35,568.8,152,-13155.60000000001,38874.59,9.7186475
34,2016,5,VEDL,2016-01-01,2016-12-30,91.65,216.15,1091,135829.5,174704.09,34.940818
35,2016,6,MARICO,2016-01-01,2016-12-30,227.15,260.45,440,14651.999999999993,189356.09,31.559348333333332
36,2016,7,RELIANCE,2016-01-01,2016-12-30,502.91,536.12,198,6575.579999999996,195931.66999999998,27.99023857142857
37,2016,8,EICHERMOT,2016-01-01,2016-12-30,1737.08,2180.31,57,25264.11,221195.77999999997,27.649472499999995
38,2016,9,BANKBARODA,2016-01-01,2016-12-30,159.05,153.4,628,-3548.2000000000035,217647.57999999996,24.18306444444444
39,2016,10,DABUR,2016-01-01,2016-12-30,276.4,278.15,361,631.75,218279.32999999996,21.827932999999998
40,2016,11,POWERGRID,2016-01-01,2016-12-30,79.51,103.48,1257,30130.289999999997,248409.61999999997,22.582692727272725
41,2016,12,TATASTEEL,2016-01-01,2016-12-30,25.73,39.11,3886,51994.67999999999,300404.29999999993,25.033691666666662
42,2016,13,ADANIENT,2016-01-01,2016-12-30,90.1,76.55,1109,-15026.949999999997,285377.3499999999,21.95210384615384
43,2016,14,COALINDIA,2016-01-01,2016-12-30,334.05,300.0,299,-10180.950000000003,275196.3999999999,19.656885714285707
44,2016,15,SBIN,2016-01-01,2016-12-30,227.8,250.2,438,9811.19999999999,285007.5999999999,19.00050666666666
45,2016,16,SHRIRAMFIN,2016-01-01,2016-12-30,865.7,853.45,115,-1408.75,283598.8499999999,17.724928124999995
46,2016,17,TVSMOTOR,2016-01-01,2016-12-30,286.65,360.5,348,25699.800000000007,309298.6499999999,18.194038235294112
47,2016,18,PIDILITIND,2016-01-01,2016-12-30,555.5,589.8,180,6173.999999999992,315472.6499999999,17.526258333333327
48,2016,19,INDUSINDBK,2016-01-01,2016-12-30,963.85,1107.9,103,14837.150000000007,330309.79999999993,17.38472631578947
49,2016,20,KOTAKBANK,2016-01-01,2016-12-30,727.25,719.7,137,-1034.3499999999938,329275.44999999995,16.463772499999997
50,2016,21,INFY,2016-01-01,2016-12-30,552.62,505.3,180,-8517.599999999999,320757.85,15.274183333333333
51,2016,22,ULTRACEMCO,2016-01-01,2016-12-30,2824.0,3250.2,35,14916.999999999993,335674.85,15.257947727272725
52,2016,23,JSWSTEEL,2016-01-01,2016-12-30,102.7,162.75,973,58428.649999999994,394103.5,17.134934782608696
53,2016,24,SIEMENS,2016-01-01,2016-12-30,1202.65,1112.5,83,-7482.450000000008,386621.05,16.109210416666667
54,2016,25,NAUKRI,2016-01-01,2016-12-30,880.0,895.9,113,1796.6999999999975,388417.75,15.536710000000001
55,2016,26,TRENT,2016-01-01,2016-12-30,175.31,200.4,570,14301.300000000001,402719.05,15.489194230769229
56,2016,27,HEROMOTOCO,2016-01-01,2016-12-30,2686.05,3043.65,37,13231.199999999997,415950.25,15.405564814814815
57,2016,28,DRREDDY,2016-01-01,2016-12-30,3108.6,3060.4,32,-1542.3999999999942,414407.85,14.800280357142857
58,2016,29,MCDOWELL-N,2016-01-01,2016-12-30,602.1,388.56,166,-35447.64000000001,378960.20999999996,13.067593448275861
59,2016,30,ASIANPAINT,2016-01-01,2016-12-30,878.75,891.05,113,1389.8999999999949,380350.11,12.678337
60,2017,1,COLPAL,2017-01-02,2017-12-29,900.3,1100.0,111,22166.700000000004,22166.700000000004,22.166700000000002
61,2017,2,BAJFINANCE,2017-01-02,2017-12-29,870.05,1756.7,114,101078.1,123244.80000000002,61.62240000000001
62,2017,3,PNB,2017-01-02,2017-12-29,115.6,171.4,865,48267.00000000001,171511.80000000002,57.17060000000001
63,2017,4,BOSCHLTD,2017-01-02,2017-12-29,21096.1,20165.6,4,-3722.0,167789.80000000002,41.94745
64,2017,5,TATAMOTORS,2017-01-02,2017-12-29,487.05,431.85,205,-11315.999999999998,156473.80000000002,31.294760000000004
65,2017,6,APOLLOHOSP,2017-01-02,2017-12-29,1189.2,1204.8,84,1310.3999999999924,157784.2,26.297366666666665
66,2017,7,AXISBANK,2017-01-02,2017-12-29,447.75,563.95,223,25912.60000000001,183696.80000000002,26.242400000000004
67,2017,8,TATASTEEL,2017-01-02,2017-12-29,40.66,73.22,2459,80065.04000000001,263761.84,32.97023000000001
68,2017,9,ADANIENT,2017-01-02,2017-12-29,76.95,166.35,1299,116130.59999999999,379892.44,42.21027111111111
69,2017,10,VBL,2017-01-02,2017-12-29,59.15,96.78,1690,63594.700000000004,443487.14,44.348714
70,2017,11,BAJAJ-AUTO,2017-01-02,2017-12-29,2598.5,3333.6,38,27933.799999999996,471420.94,42.856449090909095
71,2017,12,ICICIPRULI,2017-01-02,2017-12-29,307.1,383.6,325,24862.5,496283.44,41.35695333333334
72,2017,13,TVSMOTOR,2017-01-02,2017-12-29,367.65,770.7,271,109226.55000000002,605509.99,46.577691538461536
73,2017,14,MARUTI,2017-01-02,2017-12-29,5466.0,9729.55,18,76743.9,682253.89,48.732420714285716
74,2017,15,HEROMOTOCO,2017-01-02,2017-12-29,3030.55,3785.15,32,24147.199999999997,706401.09,47.093406
75,2017,16,BAJAJFINSV,2017-01-02,2017-12-29,294.96,523.04,339,77319.12,783720.21,48.982513125
76,2017,17,ASIANPAINT,2017-01-02,2017-12-29,904.65,1158.5,110,27923.500000000004,811643.71,47.74374764705882
77,2017,18,PIDILITIND,2017-01-02,2017-12-29,604.5,902.2,165,49120.50000000001,860764.21,47.820233888888886
78,2017,19,TATACONSUM,2017-01-02,2017-12-29,123.55,316.4,809,156015.64999999997,1016779.8599999999,53.514729473684206
