,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,35708.0,35.708
1,2015,2,ONGC,2015-01-01,2015-12-30,229.37,159.93,435,-30206.399999999998,5501.600000000002,2.7508000000000012
2,2015,3,BEL,2015-01-01,2015-12-30,29.69,40.98,3368,38024.71999999999,43526.31999999999,14.50877333333333
3,2015,4,ZYDUSLIFE,2015-01-01,2015-12-30,322.4,384.25,310,19173.500000000007,62699.82,15.674954999999999
4,2015,5,CHOLAFIN,2015-01-01,2015-12-30,94.6,128.35,1057,35673.75,98373.57,19.674714
5,2015,6,BAJAJHLDNG,2015-01-01,2015-12-30,1407.1,1650.1,71,17253.0,115626.57,19.271095000000003
6,2015,7,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,120140.57,17.162938571428572
7,2015,8,PIDILITIND,2015-01-01,2015-12-30,549.25,550.4,182,209.29999999999586,120349.87000000001,15.043733750000001
8,2015,9,COLPAL,2015-01-01,2015-12-30,902.93,972.75,110,7680.200000000005,128030.07000000002,14.225563333333335
9,2015,10,NTPC,2015-01-01,2015-12-30,118.71,120.88,842,1827.1400000000015,129857.21000000002,12.985721000000003
10,2015,11,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,148820.71000000002,13.529155454545455
11,2015,12,JINDALSTEL,2015-01-01,2015-12-30,156.55,94.85,638,-39364.60000000001,109456.11000000002,9.1213425
12,2015,13,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,145711.39,11.208568461538462
13,2015,14,TATAMOTORS,2015-01-01,2015-12-30,493.16,393.45,202,-20141.420000000006,125569.97,8.969283571428571
14,2015,15,MARICO,2015-01-01,2015-12-30,161.93,225.5,617,39222.689999999995,164792.66,10.986177333333332
15,2015,16,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,165824.13999999998,10.36400875
16,2015,17,POWERGRID,2015-01-01,2015-12-30,77.31,79.51,1293,2844.6000000000035,168668.74,9.921690588235293
17,2015,18,DLF,2015-01-01,2015-12-30,137.4,113.9,727,-17084.5,151584.24,8.421346666666667
18,2015,19,MUTHOOTFIN,2015-01-01,2015-12-30,214.4,178.8,466,-16589.6,134994.63999999998,7.104981052631579
19,2015,20,AMBUJACEM,2015-01-01,2015-12-30,227.75,204.95,439,-10009.200000000004,124985.43999999997,6.249271999999999
20,2015,21,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,99473.19999999998,4.736819047619047
21,2015,22,GODREJCP,2015-01-01,2015-12-30,321.97,426.68,310,32460.099999999995,131933.3,5.996968181818181
22,2015,23,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,127533.04999999999,5.544915217391304
23,2015,24,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,146255.05,6.0939604166666665
24,2015,25,UPL,2015-01-01,2015-12-30,227.73,289.97,439,27323.360000000015,173578.41,6.943136399999999
25,2015,26,GAIL,2015-01-01,2015-12-30,82.99,69.03,1204,-16807.839999999993,156770.57,6.029637307692308
26,2015,27,NESTLEIND,2015-01-01,2015-12-30,6317.95,5839.85,15,-7171.499999999992,149599.07,5.540706296296297
27,2015,28,ABB,2015-01-01,2015-12-30,1301.5,1113.4,76,-14295.599999999993,135303.47,4.832266785714285
28,2015,29,EICHERMOT,2015-01-01,2015-12-30,1526.24,1652.98,65,8238.1,143541.57,4.9497093103448275
29,2015,30,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,147484.77000000002,4.916159
30,2016,1,ONGC,2016-01-01,2016-12-30,161.67,191.35,618,18342.240000000005,18342.240000000005,18.342240000000004
31,2016,2,MUTHOOTFIN,2016-01-01,2016-12-30,178.75,282.7,559,58108.049999999996,76450.29000000001,38.225145000000005
32,2016,3,PGHH,2016-01-01,2016-12-30,5603.25,7084.05,17,25173.600000000002,101623.89000000001,33.87463
33,2016,4,HCLTECH,2016-01-01,2016-12-30,422.92,413.98,236,-2109.8399999999992,99514.05000000002,24.878512500000006
34,2016,5,CANBK,2016-01-01,2016-12-30,231.78,255.71,431,10313.830000000004,109827.88000000002,21.965576000000002
35,2016,6,PIDILITIND,2016-01-01,2016-12-30,555.5,589.8,180,6173.999999999992,116001.88,19.333646666666667
36,2016,7,GODREJCP,2016-01-01,2016-12-30,447.35,503.32,223,12481.309999999994,128483.19,18.354741428571426
37,2016,8,MCDOWELL-N,2016-01-01,2016-12-30,602.1,388.56,166,-35447.64000000001,93035.54999999999,11.629443749999998
38,2016,9,SHREECEM,2016-01-01,2016-12-30,11383.55,14733.4,8,26798.800000000003,119834.34999999999,13.314927777777777
39,2016,10,BOSCHLTD,2016-01-01,2016-12-30,19199.1,21049.95,5,9254.250000000011,129088.6,12.90886
40,2016,11,AXISBANK,2016-01-01,2016-12-30,449.9,449.95,222,11.100000000002524,129099.70000000001,11.736336363636363
41,2016,12,TATAMTRDVR,2016-01-01,2016-12-30,296.6,299.1,337,842.5,129942.20000000001,10.828516666666669
42,2016,13,BHARTIARTL,2016-01-01,2016-12-30,312.64,280.64,319,-10208.0,119734.20000000001,9.210323076923078
43,2016,14,TCS,2016-01-01,2016-12-30,1208.2,1182.78,82,-2084.440000000006,117649.76000000001,8.403554285714286
44,2016,15,HINDUNILVR,2016-01-01,2016-12-30,856.55,826.35,116,-3503.199999999992,114146.56000000001,7.609770666666668
45,2016,16,BAJFINANCE,2016-01-01,2016-12-30,609.59,842.2,164,38148.04,152294.6,9.5184125
46,2016,17,TATASTEEL,2016-01-01,2016-12-30,25.73,39.11,3886,51994.67999999999,204289.28,12.017016470588235
47,2016,18,CHOLAFIN,2016-01-01,2016-12-30,127.75,189.32,782,48147.74,252437.02,14.024278888888889
48,2016,19,SBIN,2016-01-01,2016-12-30,227.8,250.2,438,9811.19999999999,262248.22,13.80253789473684
49,2016,20,JSWSTEEL,2016-01-01,2016-12-30,102.7,162.75,973,58428.649999999994,320676.87,16.0338435
50,2016,21,TITAN,2016-01-01,2016-12-30,352.05,326.8,284,-7171.0,313505.87,14.928850952380952
51,2016,22,JINDALSTEL,2016-01-01,2016-12-30,94.2,69.2,1061,-26525.0,286980.87,13.044585
52,2016,23,BAJAJHLDNG,2016-01-01,2016-12-30,1677.1,1819.35,59,8392.75,295373.62,12.842331304347827
53,2016,24,GAIL,2016-01-01,2016-12-30,69.33,82.35,1442,18774.839999999993,314148.45999999996,13.089519166666665
54,2016,25,BRITANNIA,2016-01-01,2016-12-30,1493.2,1443.15,66,-3303.299999999997,310845.16,12.433806399999998
55,2016,26,SRF,2016-01-01,2016-12-30,252.62,309.29,395,22384.650000000005,333229.81,12.816531153846153
