,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,MARICO,2015-01-01,2015-12-30,161.93,225.5,617,39222.689999999995,39222.689999999995,39.22268999999999
1,2015,2,APOLLOHOSP,2015-01-01,2015-12-30,1125.9,1462.15,88,29590.0,68812.69,34.406345
2,2015,3,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,65637.94,21.879313333333332
3,2015,4,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,128018.64,32.00466
4,2015,5,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,123618.39,24.723678
5,2015,6,COLPAL,2015-01-01,2015-12-30,902.93,972.75,110,7680.200000000005,131298.59,21.883098333333333
6,2015,7,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,116814.88999999998,16.687841428571424
7,2015,8,GAIL,2015-01-01,2015-12-30,82.99,69.03,1204,-16807.839999999993,100007.04999999999,12.500881249999999
8,2015,9,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,103950.25,11.550027777777776
9,2015,10,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,139658.25,13.965825
10,2015,11,TATACONSUM,2015-01-01,2015-12-30,150.7,146.35,663,-2884.049999999996,136774.2,12.434018181818182
11,2015,12,TATAPOWER,2015-01-01,2015-12-30,82.15,67.75,1217,-17524.800000000007,119249.40000000001,9.93745
12,2015,13,SUNPHARMA,2015-01-01,2015-12-30,822.2,810.15,121,-1458.0500000000084,117791.35,9.060873076923077
13,2015,14,SRF,2015-01-01,2015-12-30,175.28,253.91,570,44819.1,162610.45,11.615032142857144
14,2015,15,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,171112.00000000003,11.407466666666668
15,2015,16,TATASTEEL,2015-01-01,2015-12-30,40.43,25.86,2473,-36031.61,135080.39,8.442524375
16,2015,17,SBIN,2015-01-01,2015-12-30,314.0,225.8,318,-28047.599999999995,107032.79000000002,6.296046470588236
17,2015,18,BAJFINANCE,2015-01-01,2015-12-30,349.97,597.42,285,70523.24999999999,177556.04,9.864224444444444
18,2015,19,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,182070.04,9.582633684210528
19,2015,20,AMBUJACEM,2015-01-01,2015-12-30,227.75,204.95,439,-10009.200000000004,172060.84,8.603042
20,2015,21,NESTLEIND,2015-01-01,2015-12-30,6317.95,5839.85,15,-7171.499999999992,164889.34,7.851873333333333
21,2015,22,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,183852.84,8.356947272727272
22,2015,23,HINDUNILVR,2015-01-01,2015-12-30,758.45,857.45,131,12969.0,196821.84,8.557471304347827
23,2015,24,MOTHERSON,2015-01-01,2015-12-30,89.96,87.01,1111,-3277.4499999999875,193544.39,8.064349583333334
24,2015,25,MARUTI,2015-01-01,2015-12-30,3340.75,4587.2,29,36147.049999999996,229691.44,9.1876576
25,2015,26,BEL,2015-01-01,2015-12-30,29.69,40.98,3368,38024.71999999999,267716.16,10.296775384615383
26,2015,27,HDFCBANK,2015-01-01,2015-12-30,476.02,537.15,210,12837.3,280553.45999999996,10.390868888888887
27,2015,28,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,255041.21999999997,9.108614999999999
28,2015,29,TORNTPHARM,2015-01-01,2015-12-30,572.75,729.05,174,27196.199999999993,282237.42,9.732324827586206
29,2015,30,EICHERMOT,2015-01-01,2015-12-30,1526.24,1652.98,65,8238.1,290475.51999999996,9.682517333333331
30,2016,1,ADANIPORTS,2016-01-01,2016-12-30,267.55,268.45,373,335.6999999999915,335.6999999999915,0.3356999999999915
31,2016,2,LTIM,2016-07-21,2016-12-30,697.6,680.05,143,-2509.6500000000096,-2173.950000000018,-1.086975000000009
32,2016,3,IOC,2016-01-01,2016-12-30,72.21,108.35,1384,50017.76,47843.80999999998,15.947936666666662
33,2016,4,MARICO,2016-01-01,2016-12-30,227.15,260.45,440,14651.999999999993,62495.809999999976,15.623952499999994
34,2016,5,COALINDIA,2016-01-01,2016-12-30,334.05,300.0,299,-10180.950000000003,52314.85999999997,10.462971999999993
35,2016,6,INDIGO,2016-01-01,2016-12-30,1343.45,821.45,74,-38628.0,13686.859999999971,2.2811433333333286
36,2016,7,NESTLEIND,2016-01-01,2016-12-30,5785.15,6028.35,17,4134.400000000012,17821.259999999984,2.5458942857142834
37,2016,8,TATAMOTORS,2016-01-01,2016-12-30,401.9,472.0,248,17384.800000000007,35206.05999999999,4.400757499999998
38,2016,9,TRENT,2016-01-01,2016-12-30,175.31,200.4,570,14301.300000000001,49507.35999999999,5.500817777777777
39,2016,10,ZYDUSLIFE,2016-01-01,2016-12-30,332.7,356.65,300,7184.999999999996,56692.359999999986,5.669235999999998
40,2016,11,GRASIM,2016-01-01,2016-12-30,753.55,862.75,132,14414.400000000005,71106.76,6.464250909090909
41,2016,12,ULTRACEMCO,2016-01-01,2016-12-30,2824.0,3250.2,35,14916.999999999993,86023.75999999998,7.168646666666666
42,2016,13,APOLLOHOSP,2016-01-01,2016-12-30,1460.8,1179.9,68,-19101.19999999999,66922.56,5.1478892307692306
43,2016,14,BAJAJHLDNG,2016-01-01,2016-12-30,1677.1,1819.35,59,8392.75,75315.31,5.379665
44,2016,15,ONGC,2016-01-01,2016-12-30,161.67,191.35,618,18342.240000000005,93657.55,6.243836666666667
45,2016,16,SHREECEM,2016-01-01,2016-12-30,11383.55,14733.4,8,26798.800000000003,120456.35,7.528521875000001
46,2016,17,PNB,2016-01-01,2016-12-30,117.6,115.45,850,-1827.4999999999927,118628.85,6.978167647058823
47,2016,18,NAUKRI,2016-01-01,2016-12-30,880.0,895.9,113,1796.6999999999975,120425.55,6.690308333333333
48,2016,19,RELIANCE,2016-01-01,2016-12-30,502.91,536.12,198,6575.579999999996,127001.13,6.684270000000001
49,2016,20,UPL,2016-01-01,2016-12-30,293.57,431.33,340,46838.399999999994,173839.53,8.691976499999999
50,2016,21,HDFCBANK,2016-01-01,2016-12-30,544.38,603.1,183,10745.760000000006,184585.29,8.789775714285716
51,2016,22,M&M,2016-01-01,2016-12-30,632.67,592.35,158,-6370.55999999999,178214.73,8.100669545454545
52,2016,23,CHOLAFIN,2016-01-01,2016-12-30,127.75,189.32,782,48147.74,226362.47,9.84184652173913
53,2016,24,CIPLA,2016-01-01,2016-12-30,655.35,568.8,152,-13155.60000000001,213206.87,8.883619583333333
54,2016,25,MARUTI,2016-01-01,2016-12-30,4638.5,5319.55,21,14302.050000000003,227508.91999999998,9.1003568
55,2016,26,HINDALCO,2016-01-01,2016-12-30,84.9,155.05,1177,82566.55,310075.47,11.925979615384614
56,2016,27,TATACONSUM,2016-01-01,2016-12-30,146.4,122.0,683,-16665.200000000004,293410.26999999996,10.867047037037034
57,2016,28,TITAN,2016-01-01,2016-12-30,352.05,326.8,284,-7171.0,286239.26999999996,10.22283107142857
58,2016,29,TVSMOTOR,2016-01-01,2016-12-30,286.65,360.5,348,25699.800000000007,311939.06999999995,10.756519655172413
59,2016,30,NTPC,2016-01-01,2016-12-30,120.42,137.29,830,14002.099999999991,325941.1699999999,10.864705666666664
60,2017,1,GODREJCP,2017-01-02,2017-12-29,507.3,666.3,197,31322.99999999999,31322.99999999999,31.32299999999999
61,2017,2,DABUR,2017-01-02,2017-12-29,277.15,349.7,360,26118.000000000004,57440.99999999999,28.720499999999998
62,2017,3,BAJAJ-AUTO,2017-01-02,2017-12-29,2598.5,3333.6,38,27933.799999999996,85374.79999999999,28.458266666666667
63,2017,4,TATAPOWER,2017-01-02,2017-12-29,75.4,93.5,1326,24000.59999999999,109375.39999999998,27.343849999999996
64,2017,5,BAJAJHLDNG,2017-01-02,2017-12-29,1825.65,2867.35,54,56251.79999999999,165627.19999999995,33.12543999999999
65,2017,6,DRREDDY,2017-01-02,2017-12-29,3083.4,2414.2,32,-21414.40000000001,144212.79999999993,24.035466666666654
66,2017,7,PIDILITIND,2017-01-02,2017-12-29,604.5,902.2,165,49120.50000000001,193333.29999999993,27.619042857142844
67,2017,8,CIPLA,2017-01-02,2017-12-29,566.0,608.5,176,7480.0,200813.29999999993,25.101662499999993
68,2017,9,BAJFINANCE,2017-01-02,2017-12-29,870.05,1756.7,114,101078.1,301891.3999999999,33.54348888888888
69,2017,10,HAVELLS,2017-01-02,2017-12-29,341.85,562.45,292,64415.200000000004,366306.5999999999,36.63065999999999
70,2017,11,KOTAKBANK,2017-01-02,2017-12-29,714.8,1010.2,139,41060.60000000001,407367.19999999995,37.033381818181816
71,2017,12,SHREECEM,2017-01-02,2017-12-29,14517.6,18074.5,6,21341.399999999998,428708.6,35.72571666666666
72,2017,13,ADANIPORTS,2017-01-02,2017-12-29,273.8,405.65,365,48125.249999999985,476833.85,36.67952692307692
73,2017,14,ITC,2017-01-02,2017-12-29,240.95,263.25,415,9254.500000000005,486088.35,34.720596428571426
74,2017,15,NTPC,2017-01-02,2017-12-29,137.33,147.5,728,7403.759999999991,493492.11,32.899474
75,2017,16,COLPAL,2017-01-02,2017-12-29,900.3,1100.0,111,22166.700000000004,515658.81,32.228675624999994
