,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,-2769.849999999997,-2.7698499999999973
1,2015,2,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,1173.3500000000136,0.5866750000000068
2,2015,3,ITC,2015-01-01,2015-12-30,244.77,217.7,408,-11044.560000000009,-9871.209999999995,-3.290403333333332
3,2015,4,TORNTPHARM,2015-01-01,2015-12-30,572.75,729.05,174,27196.199999999993,17324.989999999998,4.3312475
4,2015,5,NESTLEIND,2015-01-01,2015-12-30,6317.95,5839.85,15,-7171.499999999992,10153.490000000005,2.030698000000001
5,2015,6,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,29116.99000000001,4.852831666666669
6,2015,7,BEL,2015-01-01,2015-12-30,29.69,40.98,3368,38024.71999999999,67141.70999999999,9.591672857142857
7,2015,8,SHRIRAMFIN,2015-01-01,2015-12-30,1102.35,850.6,90,-22657.49999999999,44484.21000000001,5.560526250000001
8,2015,9,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,45515.69,5.057298888888889
9,2015,10,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,107896.39,10.789639
10,2015,11,EICHERMOT,2015-01-01,2015-12-30,1526.24,1652.98,65,8238.1,116134.49,10.557680909090909
11,2015,12,INDUSINDBK,2015-01-01,2015-12-30,812.0,968.55,123,19255.649999999994,135390.14,11.282511666666668
12,2015,13,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,144826.12000000002,11.140470769230772
13,2015,14,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,163548.12000000002,11.682008571428574
14,2015,15,TECHM,2015-01-01,2015-12-30,648.64,525.15,154,-19017.460000000003,144530.66000000003,9.635377333333334
15,2015,16,INFY,2015-01-01,2015-12-30,493.6,543.15,202,10009.099999999991,154539.76,9.658735
16,2015,17,GAIL,2015-01-01,2015-12-30,82.99,69.03,1204,-16807.839999999993,137731.92,8.101877647058824
17,2015,18,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,142245.92,7.902551111111111
18,2015,19,BAJAJHLDNG,2015-01-01,2015-12-30,1407.1,1650.1,71,17253.0,159498.92,8.394680000000001
19,2015,20,ASIANPAINT,2015-01-01,2015-12-30,749.15,878.15,133,17157.0,176655.92,8.832796000000002
20,2015,21,DABUR,2015-01-01,2015-12-30,232.4,275.0,430,18317.999999999996,194973.92,9.284472380952382
21,2015,22,ZYDUSLIFE,2015-01-01,2015-12-30,322.4,384.25,310,19173.500000000007,214147.42,9.733973636363636
22,2015,23,HCLTECH,2015-01-01,2015-12-30,401.7,420.25,248,4600.400000000003,218747.82,9.510774782608696
23,2015,24,TATAMOTORS,2015-01-01,2015-12-30,493.16,393.45,202,-20141.420000000006,198606.4,8.275266666666667
24,2015,25,MUTHOOTFIN,2015-01-01,2015-12-30,214.4,178.8,466,-16589.6,182016.8,7.280671999999999
25,2015,26,HINDUNILVR,2015-01-01,2015-12-30,758.45,857.45,131,12969.0,194985.8,7.499453846153846
26,2015,27,NTPC,2015-01-01,2015-12-30,118.71,120.88,842,1827.1400000000015,196812.94,7.2893681481481485
27,2015,28,VEDL,2015-01-01,2015-12-30,219.25,91.95,456,-58048.799999999996,138764.14,4.955862142857144
28,2015,29,TATAPOWER,2015-01-01,2015-12-30,82.15,67.75,1217,-17524.800000000007,121239.34000000001,4.180666896551725
29,2015,30,DIVISLAB,2015-01-01,2015-12-30,872.73,1158.6,114,32589.179999999986,153828.52,5.127617333333332
30,2016,1,EICHERMOT,2016-01-01,2016-12-30,1737.08,2180.31,57,25264.11,25264.11,25.264110000000002
31,2016,2,SIEMENS,2016-01-01,2016-12-30,1202.65,1112.5,83,-7482.450000000008,17781.659999999993,8.890829999999998
32,2016,3,BAJFINANCE,2016-01-01,2016-12-30,609.59,842.2,164,38148.04,55929.7,18.64323333333333
