,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,VEDL,2015-01-01,2015-12-30,219.25,91.95,456,-58048.799999999996,-58048.799999999996,-58.0488
1,2015,2,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,-65925.65,-32.962824999999995
2,2015,3,HDFCBANK,2015-01-01,2015-12-30,476.02,537.15,210,12837.3,-53088.34999999999,-17.696116666666665
3,2015,4,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,-55858.19999999999,-13.964549999999997
4,2015,5,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,6522.500000000007,1.3045000000000015
5,2015,6,ZYDUSLIFE,2015-01-01,2015-12-30,322.4,384.25,310,19173.500000000007,25696.000000000015,4.282666666666669
6,2015,7,CHOLAFIN,2015-01-01,2015-12-30,94.6,128.35,1057,35673.75,61369.750000000015,8.767107142857144
7,2015,8,TATAPOWER,2015-01-01,2015-12-30,82.15,67.75,1217,-17524.800000000007,43844.95000000001,5.480618750000001
8,2015,9,EICHERMOT,2015-01-01,2015-12-30,1526.24,1652.98,65,8238.1,52083.05000000001,5.787005555555556
9,2015,10,ONGC,2015-01-01,2015-12-30,229.37,159.93,435,-30206.399999999998,21876.650000000012,2.1876650000000013
10,2015,11,HCLTECH,2015-01-01,2015-12-30,401.7,420.25,248,4600.400000000003,26477.050000000017,2.407004545454547
11,2015,12,COALINDIA,2015-01-01,2015-12-30,380.05,322.1,263,-15240.849999999997,11236.20000000002,0.9363500000000018
12,2015,13,TCS,2015-01-01,2015-12-30,1272.78,1209.15,78,-4963.13999999999,6273.06000000003,0.48254307692307924
13,2015,14,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,-19239.179999999964,-1.3742271428571402
14,2015,15,PNB,2015-01-01,2015-12-30,219.65,117.8,455,-46341.75000000001,-65580.92999999996,-4.372061999999997
15,2015,16,JSWSTEEL,2015-01-01,2015-12-30,106.59,102.75,938,-3601.9200000000033,-69182.84999999996,-4.3239281249999975
16,2015,17,GODREJCP,2015-01-01,2015-12-30,321.97,426.68,310,32460.099999999995,-36722.74999999997,-2.1601617647058804
17,2015,18,GAIL,2015-01-01,2015-12-30,82.99,69.03,1204,-16807.839999999993,-53530.58999999997,-2.973921666666665
18,2015,19,PIDILITIND,2015-01-01,2015-12-30,549.25,550.4,182,209.29999999999586,-53321.28999999997,-2.806383684210525
19,2015,20,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,-17613.28999999997,-0.8806644999999986
20,2015,21,DABUR,2015-01-01,2015-12-30,232.4,275.0,430,18317.999999999996,704.7100000000246,0.03355761904762022
21,2015,22,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,36959.990000000034,1.6799995454545469
22,2015,23,INFY,2015-01-01,2015-12-30,493.6,543.15,202,10009.099999999991,46969.090000000026,2.042134347826088
23,2015,24,M&M,2015-01-01,2015-12-30,618.53,631.5,161,2088.1700000000046,49057.26000000003,2.044052500000001
24,2015,25,ITC,2015-01-01,2015-12-30,244.77,217.7,408,-11044.560000000009,38012.700000000026,1.5205080000000009
25,2015,26,SIEMENS,2015-01-01,2015-12-30,906.7,1193.65,110,31564.500000000004,69577.20000000003,2.676046153846155
26,2015,27,AMBUJACEM,2015-01-01,2015-12-30,227.75,204.95,439,-10009.200000000004,59568.00000000002,2.2062222222222228
27,2015,28,TRENT,2015-01-01,2015-12-30,148.29,175.83,674,18561.960000000014,78129.96000000004,2.7903557142857154
28,2015,29,ABB,2015-01-01,2015-12-30,1301.5,1113.4,76,-14295.599999999993,63834.360000000044,2.2011848275862085
29,2015,30,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,72335.91000000005,2.411197000000002
30,2016,1,BAJAJFINSV,2016-01-01,2016-12-30,198.38,289.49,504,45919.44000000001,45919.44000000001,45.91944000000001
31,2016,2,INFY,2016-01-01,2016-12-30,552.62,505.3,180,-8517.599999999999,37401.84000000001,18.700920000000004
32,2016,3,ICICIPRULI,2016-09-29,2016-12-30,297.55,302.25,336,1579.1999999999962,38981.04000000001,12.993680000000001
33,2016,4,MARUTI,2016-01-01,2016-12-30,4638.5,5319.55,21,14302.050000000003,53283.09000000001,13.320772500000002
34,2016,5,BAJFINANCE,2016-01-01,2016-12-30,609.59,842.2,164,38148.04,91431.13,18.286226
35,2016,6,IOC,2016-01-01,2016-12-30,72.21,108.35,1384,50017.76,141448.89,23.574815
