,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,1031.4799999999934,1.0314799999999935
1,2015,2,DABUR,2015-01-01,2015-12-30,232.4,275.0,430,18317.999999999996,19349.47999999999,9.674739999999995
2,2015,3,AMBUJACEM,2015-01-01,2015-12-30,227.75,204.95,439,-10009.200000000004,9340.279999999984,3.1134266666666615
3,2015,4,PNB,2015-01-01,2015-12-30,219.65,117.8,455,-46341.75000000001,-37001.47000000002,-9.250367500000007
4,2015,5,HINDUNILVR,2015-01-01,2015-12-30,758.45,857.45,131,12969.0,-24032.470000000023,-4.806494000000005
5,2015,6,BAJFINANCE,2015-01-01,2015-12-30,349.97,597.42,285,70523.24999999999,46490.77999999996,7.748463333333327
6,2015,7,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,43720.929999999964,6.245847142857137
7,2015,8,HEROMOTOCO,2015-01-01,2015-12-30,3105.4,2712.95,32,-12558.400000000009,31162.529999999955,3.8953162499999943
8,2015,9,TATAPOWER,2015-01-01,2015-12-30,82.15,67.75,1217,-17524.800000000007,13637.729999999949,1.5153033333333277
9,2015,10,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,-11874.510000000046,-1.1874510000000047
10,2015,11,UPL,2015-01-01,2015-12-30,227.73,289.97,439,27323.360000000015,15448.84999999997,1.4044409090909062
11,2015,12,MARICO,2015-01-01,2015-12-30,161.93,225.5,617,39222.689999999995,54671.539999999964,4.555961666666663
12,2015,13,TORNTPHARM,2015-01-01,2015-12-30,572.75,729.05,174,27196.199999999993,81867.73999999996,6.297518461538458
13,2015,14,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,73990.88999999997,5.285063571428569
14,2015,15,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,78504.88999999997,5.233659333333331
15,2015,16,POWERGRID,2015-01-01,2015-12-30,77.31,79.51,1293,2844.6000000000035,81349.48999999998,5.084343124999998
16,2015,17,JINDALSTEL,2015-01-01,2015-12-30,156.55,94.85,638,-39364.60000000001,41984.88999999996,2.469699411764704
17,2015,18,TATACONSUM,2015-01-01,2015-12-30,150.7,146.35,663,-2884.049999999996,39100.83999999997,2.172268888888887
18,2015,19,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,43044.03999999998,2.265475789473683
19,2015,20,M&M,2015-01-01,2015-12-30,618.53,631.5,161,2088.1700000000046,45132.209999999985,2.2566104999999994
20,2015,21,TATAMTRDVR,2015-01-01,2015-12-30,331.19,289.9,301,-12428.290000000006,32703.919999999976,1.5573295238095226
21,2015,22,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,29529.169999999976,1.342234999999999
22,2015,23,COLPAL,2015-01-01,2015-12-30,902.93,972.75,110,7680.200000000005,37209.36999999998,1.6177986956521733
23,2015,24,TCS,2015-01-01,2015-12-30,1272.78,1209.15,78,-4963.13999999999,32246.22999999999,1.3435929166666662
24,2015,25,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,17762.529999999984,0.7105011999999994
25,2015,26,IOC,2015-01-01,2015-12-30,56.08,70.98,1783,26566.70000000001,44329.229999999996,1.7049703846153845
26,2015,27,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,63292.729999999996,2.344175185185185
27,2015,28,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,99000.73,3.5357403571428567
28,2015,29,NAUKRI,2015-01-01,2015-12-30,855.75,862.7,116,806.2000000000053,99806.93000000001,3.4416182758620693
29,2015,30,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,112916.18000000001,3.763872666666667
30,2016,1,LT,2016-01-01,2016-12-30,859.47,899.4,116,4631.879999999994,4631.879999999994,4.631879999999994
31,2016,2,MARUTI,2016-01-01,2016-12-30,4638.5,5319.55,21,14302.050000000003,18933.929999999997,9.466964999999998
32,2016,3,BHARTIARTL,2016-01-01,2016-12-30,312.64,280.64,319,-10208.0,8725.929999999997,2.908643333333332
33,2016,4,IOC,2016-01-01,2016-12-30,72.21,108.35,1384,50017.76,58743.69,14.6859225
34,2016,5,TRENT,2016-01-01,2016-12-30,175.31,200.4,570,14301.300000000001,73044.99,14.608998000000001
35,2016,6,SHRIRAMFIN,2016-01-01,2016-12-30,865.7,853.45,115,-1408.75,71636.24,11.939373333333334
36,2016,7,JINDALSTEL,2016-01-01,2016-12-30,94.2,69.2,1061,-26525.0,45111.240000000005,6.444462857142858
37,2016,8,KOTAKBANK,2016-01-01,2016-12-30,727.25,719.7,137,-1034.3499999999938,44076.890000000014,5.509611250000002
38,2016,9,SRF,2016-01-01,2016-12-30,252.62,309.29,395,22384.650000000005,66461.54000000002,7.384615555555558
39,2016,10,SHREECEM,2016-01-01,2016-12-30,11383.55,14733.4,8,26798.800000000003,93260.34000000003,9.326034000000002
40,2016,11,JSWSTEEL,2016-01-01,2016-12-30,102.7,162.75,973,58428.649999999994,151688.99000000002,13.789908181818184
41,2016,12,TORNTPHARM,2016-01-01,2016-12-30,739.45,658.58,135,-10917.45,140771.54,11.730961666666667
42,2016,13,MOTHERSON,2016-01-01,2016-12-30,88.0,96.73,1136,9917.280000000004,150688.82,11.591447692307693
43,2016,14,HCLTECH,2016-01-01,2016-12-30,422.92,413.98,236,-2109.8399999999992,148578.98,10.612784285714287
44,2016,15,M&M,2016-01-01,2016-12-30,632.67,592.35,158,-6370.55999999999,142208.42,9.480561333333334
45,2016,16,BOSCHLTD,2016-01-01,2016-12-30,19199.1,21049.95,5,9254.250000000011,151462.67,9.466416875000002
46,2016,17,DABUR,2016-01-01,2016-12-30,276.4,278.15,361,631.75,152094.42,8.946730588235296
47,2016,18,DIVISLAB,2016-01-01,2016-12-30,1162.5,783.7,86,-32576.799999999996,119517.62000000002,6.639867777777779
48,2016,19,BANKBARODA,2016-01-01,2016-12-30,159.05,153.4,628,-3548.2000000000035,115969.42000000003,6.103653684210528
49,2016,20,PIDILITIND,2016-01-01,2016-12-30,555.5,589.8,180,6173.999999999992,122143.42000000001,6.107171000000001
50,2016,21,BAJAJ-AUTO,2016-01-01,2016-12-30,2518.0,2632.2,39,4453.799999999993,126597.22,6.028439047619048
51,2016,22,TATAMTRDVR,2016-01-01,2016-12-30,296.6,299.1,337,842.5,127439.72,5.792714545454546
52,2016,23,ITC,2016-01-01,2016-12-30,218.33,241.65,458,10680.559999999998,138120.28,6.005229565217391
53,2016,24,INDUSINDBK,2016-01-01,2016-12-30,963.85,1107.9,103,14837.150000000007,152957.43,6.37322625
54,2016,25,COALINDIA,2016-01-01,2016-12-30,334.05,300.0,299,-10180.950000000003,142776.47999999998,5.711059199999999
55,2016,26,APOLLOHOSP,2016-01-01,2016-12-30,1460.8,1179.9,68,-19101.19999999999,123675.28,4.756741538461538
56,2016,27,DRREDDY,2016-01-01,2016-12-30,3108.6,3060.4,32,-1542.3999999999942,122132.88,4.52344
57,2016,28,HDFCBANK,2016-01-01,2016-12-30,544.38,603.1,183,10745.760000000006,132878.64,4.745665714285715
58,2016,29,BERGEPAINT,2016-01-01,2016-12-30,155.48,175.46,643,12847.140000000012,145725.78000000003,5.025026896551725
59,2016,30,POWERGRID,2016-01-01,2016-12-30,79.51,103.48,1257,30130.289999999997,175856.07000000004,5.861869000000001
60,2017,1,UPL,2017-01-02,2017-12-29,439.1,508.47,227,15746.990000000002,15746.990000000002,15.746990000000002
61,2017,2,HCLTECH,2017-01-02,2017-12-29,414.25,445.25,241,7471.0,23217.99,11.608995000000002
62,2017,3,VEDL,2017-01-02,2017-12-29,220.95,329.9,452,49245.399999999994,72463.39,24.154463333333336
63,2017,4,TATAPOWER,2017-01-02,2017-12-29,75.4,93.5,1326,24000.59999999999,96463.98999999999,24.1159975
64,2017,5,SRF,2017-01-02,2017-12-29,311.68,396.24,320,27059.2,123523.18999999999,24.704638
65,2017,6,ICICIBANK,2017-01-02,2017-12-29,229.05,314.0,436,37038.2,160561.38999999998,26.760231666666662
66,2017,7,HDFCBANK,2017-01-02,2017-12-29,598.55,936.2,167,56387.55000000002,216948.94,30.992705714285712
67,2017,8,SUNPHARMA,2017-01-02,2017-12-29,634.05,571.15,157,-9875.299999999996,207073.64,25.884204999999998
68,2017,9,TRENT,2017-01-02,2017-12-29,201.8,337.15,495,66998.24999999999,274071.89,30.452432222222225
69,2017,10,ICICIPRULI,2017-01-02,2017-12-29,307.1,383.6,325,24862.5,298934.39,29.893439
70,2017,11,DLF,2017-01-02,2017-12-29,118.7,259.35,842,118427.30000000003,417361.69000000006,37.94197181818183
71,2017,12,BERGEPAINT,2017-01-02,2017-12-29,176.29,228.12,567,29387.610000000008,446749.30000000005,37.229108333333336
72,2017,13,BAJAJ-AUTO,2017-01-02,2017-12-29,2598.5,3333.6,38,27933.799999999996,474683.10000000003,36.51408461538462
73,2017,14,MARICO,2017-01-02,2017-12-29,253.8,322.5,394,27067.799999999996,501750.9,35.83935
74,2017,15,GODREJCP,2017-01-02,2017-12-29,507.3,666.3,197,31322.99999999999,533073.9,35.53826
75,2017,16,TITAN,2017-01-02,2017-12-29,333.95,858.15,299,156735.80000000002,689809.7000000001,43.11310625000001
76,2017,17,TATASTEEL,2017-01-02,2017-12-29,40.66,73.22,2459,80065.04000000001,769874.7400000001,45.28674941176471
77,2017,18,INFY,2017-01-02,2017-12-29,500.55,521.03,199,4075.5199999999923,773950.2600000001,42.99723666666667
78,2017,19,PIDILITIND,2017-01-02,2017-12-29,604.5,902.2,165,49120.50000000001,823070.7600000001,43.319513684210534
79,2017,20,COALINDIA,2017-01-02,2017-12-29,300.05,262.95,333,-12354.300000000008,810716.4600000001,40.53582300000001
80,2017,21,DIVISLAB,2017-01-02,2017-12-29,797.85,1098.35,125,37562.499999999985,848278.9600000001,40.39423619047619
81,2017,22,HEROMOTOCO,2017-01-02,2017-12-29,3030.55,3785.15,32,24147.199999999997,872426.16,39.65573454545455
82,2017,23,PGHH,2017-01-02,2017-12-29,6994.7,9395.8,14,33615.399999999994,906041.56,39.393111304347826
83,2017,24,EICHERMOT,2017-01-02,2017-12-29,2252.4,3034.08,44,34393.91999999999,940435.4800000001,39.18481166666667
84,2017,25,ICICIGI,2017-09-27,2017-12-29,681.2,775.5,146,13767.799999999994,954203.2800000001,38.168131200000005
85,2017,26,MOTHERSON,2017-01-02,2017-12-29,97.14,168.56,1029,73491.18000000001,1027694.4600000002,39.52671000000001
86,2017,27,INDIGO,2017-01-02,2017-12-29,822.35,1205.5,121,46361.149999999994,1074055.61,39.779837407407406
87,2017,28,CHOLAFIN,2017-01-02,2017-12-29,189.99,259.91,526,36777.920000000006,1110833.53,39.672626071428574
88,2017,29,WIPRO,2017-01-02,2017-12-29,176.83,235.69,565,33255.899999999994,1144089.43,39.45135965517241
89,2017,30,SBILIFE,2017-10-03,2017-12-29,707.55,695.35,141,-1720.1999999999903,1142369.23,38.078974333333335
90,2018,1,TATACONSUM,2018-01-01,2018-12-28,312.9,220.8,319,-29379.89999999999,-29379.89999999999,-29.379899999999992
91,2018,2,GODREJCP,2018-01-01,2018-12-28,657.5,810.85,152,23309.200000000004,-6070.699999999986,-3.035349999999993
92,2018,3,SUNPHARMA,2018-01-01,2018-12-28,574.05,425.2,174,-25899.899999999994,-31970.59999999998,-10.65686666666666
93,2018,4,PNB,2018-01-01,2018-12-28,169.75,78.45,589,-53775.7,-85746.29999999997,-21.436574999999994
94,2018,5,SIEMENS,2018-01-01,2018-12-28,1238.2,1043.35,80,-15588.000000000011,-101334.29999999999,-20.266859999999998
95,2018,6,BOSCHLTD,2018-01-01,2018-12-28,19791.9,19629.75,5,-810.7500000000073,-102145.04999999999,-17.024174999999996
96,2018,7,ADANIENT,2018-01-01,2018-12-28,166.05,161.55,602,-2709.0,-104854.04999999999,-14.979149999999999
97,2018,8,HAL,2018-03-28,2018-12-28,566.42,395.3,176,-30117.11999999999,-134971.16999999998,-16.871396249999997
98,2018,9,ADANIPORTS,2018-01-01,2018-12-28,399.65,387.4,250,-3062.5,-138033.66999999998,-15.337074444444443
99,2018,10,ABB,2018-01-01,2018-12-28,1399.65,1313.3,71,-6130.8500000000095,-144164.52,-14.416452
100,2018,11,ASIANPAINT,2018-01-01,2018-12-28,1143.65,1366.0,87,19344.449999999993,-124820.06999999999,-11.34727909090909
101,2018,12,HEROMOTOCO,2018-01-01,2018-12-28,3749.1,3122.6,26,-16289.0,-141109.07,-11.759089166666667
102,2018,13,MARICO,2018-01-01,2018-12-28,320.7,378.1,311,17851.400000000012,-123257.67,-9.48135923076923
103,2018,14,NTPC,2018-01-01,2018-12-28,147.12,124.88,679,-15100.960000000006,-138358.63,-9.882759285714286
104,2018,15,M&M,2018-01-01,2018-12-28,744.65,803.55,134,7892.599999999997,-130466.03000000001,-8.697735333333334
105,2018,16,INDIGO,2018-01-01,2018-12-28,1203.0,1178.5,83,-2033.5,-132499.53000000003,-8.281220625000001
106,2018,17,BAJAJ-AUTO,2018-01-01,2018-12-28,3289.25,2717.5,30,-17152.5,-149652.03000000003,-8.803060588235295
107,2018,18,BERGEPAINT,2018-01-01,2018-12-28,224.08,275.12,446,22763.839999999997,-126888.19000000003,-7.049343888888891
108,2018,19,TATAMTRDVR,2018-01-01,2018-12-28,242.35,91.95,412,-61964.79999999999,-188852.99000000002,-9.93963105263158
109,2018,20,INDUSINDBK,2018-01-01,2018-12-28,1623.85,1583.25,61,-2476.5999999999945,-191329.59000000003,-9.566479500000002
110,2018,21,DIVISLAB,2018-01-01,2018-12-28,1099.05,1467.2,90,33133.50000000001,-158196.09000000003,-7.533147142857144
111,2018,22,TECHM,2018-01-01,2018-12-28,503.1,714.0,198,41758.2,-116437.89000000003,-5.2926313636363655
112,2018,23,UPL,2018-01-01,2018-12-28,503.83,505.6,198,350.46000000000765,-116087.43000000002,-5.047279565217392
113,2018,24,CHOLAFIN,2018-01-01,2018-12-28,263.57,249.38,379,-5378.009999999999,-121465.44000000002,-5.06106
114,2018,25,SBILIFE,2018-01-01,2018-12-28,699.5,598.8,142,-14299.400000000007,-135764.84000000003,-5.430593600000002
115,2018,26,TATAPOWER,2018-01-01,2018-12-28,97.15,77.1,1029,-20631.45000000001,-156396.29000000004,-6.015241923076924
116,2018,27,ZYDUSLIFE,2018-01-01,2018-12-28,432.55,345.3,231,-20154.75,-176551.04000000004,-6.538927407407409
117,2018,28,INFY,2018-01-01,2018-12-28,516.78,656.95,193,27052.810000000012,-149498.23000000004,-5.339222500000002
118,2018,29,IOC,2018-01-01,2018-12-28,129.98,92.13,769,-29106.649999999994,-178604.88000000003,-6.1587889655172425
119,2018,30,ADANIGREEN,2018-06-18,2018-12-28,31.5,41.7,3174,32374.80000000001,-146230.08000000002,-4.8743360000000004
120,2019,1,MARUTI,2019-01-01,2019-12-30,7476.8,7416.25,13,-787.1500000000024,-787.1500000000024,-0.7871500000000025
121,2019,2,SUNPHARMA,2019-01-01,2019-12-30,433.55,430.15,230,-782.0000000000078,-1569.15000000001,-0.784575000000005
122,2019,3,LTIM,2019-01-01,2019-12-30,1713.45,1775.9,58,3622.1000000000026,2052.9499999999925,0.6843166666666641
123,2019,4,UPL,2019-01-01,2019-12-30,502.33,589.35,199,17316.980000000007,19369.93,4.8424825
124,2019,5,ATGL,2019-01-01,2019-12-30,101.85,155.8,981,52924.95000000002,72294.88000000002,14.458976000000003
125,2019,6,SBIN,2019-01-01,2019-12-30,299.6,334.4,333,11588.399999999985,83883.28,13.980546666666665
126,2019,7,BHARTIARTL,2019-01-01,2019-12-30,293.36,460.5,340,56827.6,140710.88,20.101554285714286
127,2019,8,HINDALCO,2019-01-01,2019-12-30,222.75,217.95,448,-2150.400000000005,138560.48,17.32006
128,2019,9,TATAMOTORS,2019-01-01,2019-12-30,173.45,183.7,576,5904.0,144464.48,16.05160888888889
129,2019,10,HINDUNILVR,2019-01-01,2019-12-30,1801.1,1937.25,55,7488.2500000000055,151952.73,15.195273
130,2019,11,JINDALSTEL,2019-01-01,2019-12-30,162.9,167.35,613,2727.849999999993,154680.58000000002,14.06187090909091
131,2019,12,PIIND,2019-01-01,2019-12-30,864.2,1452.35,115,67637.24999999999,222317.83000000002,18.526485833333332
132,2019,13,DRREDDY,2019-01-01,2019-12-30,2607.05,2888.85,38,10708.39999999999,233026.23,17.925094615384616
133,2019,14,HAL,2019-01-01,2019-12-30,399.3,365.27,250,-8507.500000000007,224518.73,16.037052142857146
134,2019,15,VEDL,2019-01-01,2019-12-30,202.1,154.5,494,-23514.399999999998,201004.33000000002,13.400288666666668
135,2019,16,SIEMENS,2019-01-01,2019-12-30,1062.65,1518.25,94,42826.399999999994,243830.73,15.239420625
136,2019,17,ADANIPORTS,2019-01-01,2019-12-30,389.0,365.95,257,-5923.850000000003,237906.88,13.994522352941177
137,2019,18,TECHM,2019-01-01,2019-12-30,719.1,782.7,139,8840.400000000003,246747.28,13.708182222222224
138,2019,19,TRENT,2019-01-01,2019-12-30,361.95,544.4,276,50356.2,297103.48,15.637025263157895
139,2019,20,IRCTC,2019-10-14,2019-12-30,145.55,185.23,687,27260.159999999985,324363.63999999996,16.218182
140,2019,21,BERGEPAINT,2019-01-01,2019-12-30,277.08,429.33,360,54810.0,379173.63999999996,18.055887619047617
141,2019,22,HCLTECH,2019-01-01,2019-12-30,479.92,569.3,208,18591.039999999986,397764.67999999993,18.080212727272723
142,2019,23,TITAN,2019-01-01,2019-12-30,928.0,1193.75,107,28435.25,426199.92999999993,18.53043173913043
143,2019,24,JSWSTEEL,2019-01-01,2019-12-30,303.95,271.1,329,-10807.649999999989,415392.27999999997,17.308011666666665
144,2019,25,BANKBARODA,2019-01-01,2019-12-30,123.3,102.9,811,-16544.399999999994,398847.88,15.953915199999999
145,2019,26,MARICO,2019-01-01,2019-12-30,372.3,342.65,268,-7946.200000000009,390901.68,15.03468
146,2019,27,ICICIGI,2019-01-01,2019-12-30,873.25,1386.75,114,58539.0,449440.68,16.64595111111111
147,2019,28,ICICIPRULI,2019-01-01,2019-12-30,325.9,485.8,306,48929.40000000001,498370.08,17.79893142857143
148,2019,29,M&M,2019-01-01,2019-12-30,773.35,536.9,129,-30502.050000000007,467868.03,16.133380344827586
149,2019,30,MCDOWELL-N,2019-01-01,2019-12-30,621.0,591.95,161,-4677.049999999993,463190.98000000004,15.439699333333333
150,2020,1,TORNTPHARM,2020-01-01,2020-12-30,921.85,1396.5,108,51262.2,51262.2,51.2622
151,2020,2,HAL,2020-01-01,2020-12-30,365.1,415.52,273,13764.659999999989,65026.859999999986,32.51342999999999
152,2020,3,BPCL,2020-01-01,2020-12-30,491.65,382.85,203,-22086.39999999999,42940.45999999999,14.313486666666664
153,2020,4,AXISBANK,2020-01-01,2020-12-30,748.7,625.1,133,-16438.800000000003,26501.65999999999,6.625414999999997
154,2020,5,BOSCHLTD,2020-01-01,2020-12-30,15284.8,12818.55,6,-14797.5,11704.159999999989,2.340831999999998
155,2020,6,CANBK,2020-01-01,2020-12-30,221.65,129.35,451,-41627.3,-29923.140000000014,-4.987190000000003
156,2020,7,KOTAKBANK,2020-01-01,2020-12-30,1674.05,2017.95,59,20290.100000000006,-9633.040000000008,-1.3761485714285726
