,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,JSWSTEEL,2015-01-01,2015-12-30,106.59,102.75,938,-3601.9200000000033,-3601.9200000000033,-3.601920000000004
1,2015,2,SRF,2015-01-01,2015-12-30,175.28,253.91,570,44819.1,41217.17999999999,20.608589999999996
2,2015,3,MOTHERSON,2015-01-01,2015-12-30,89.96,87.01,1111,-3277.4499999999875,37939.73,12.646576666666668
3,2015,4,INDUSINDBK,2015-01-01,2015-12-30,812.0,968.55,123,19255.649999999994,57195.38,14.298844999999998
4,2015,5,TATAMOTORS,2015-01-01,2015-12-30,493.16,393.45,202,-20141.420000000006,37053.95999999999,7.410791999999998
5,2015,6,VEDL,2015-01-01,2015-12-30,219.25,91.95,456,-58048.799999999996,-20994.840000000004,-3.4991400000000006
6,2015,7,DLF,2015-01-01,2015-12-30,137.4,113.9,727,-17084.5,-38079.340000000004,-5.4399057142857155
7,2015,8,M&M,2015-01-01,2015-12-30,618.53,631.5,161,2088.1700000000046,-35991.17,-4.49889625
8,2015,9,GAIL,2015-01-01,2015-12-30,82.99,69.03,1204,-16807.839999999993,-52799.009999999995,-5.866556666666666
9,2015,10,DIVISLAB,2015-01-01,2015-12-30,872.73,1158.6,114,32589.179999999986,-20209.83000000001,-2.0209830000000006
10,2015,11,TORNTPHARM,2015-01-01,2015-12-30,572.75,729.05,174,27196.199999999993,6986.369999999984,0.635124545454544
11,2015,12,TRENT,2015-01-01,2015-12-30,148.29,175.83,674,18561.960000000014,25548.329999999998,2.1290275
12,2015,13,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,61803.610000000015,4.754123846153847
13,2015,14,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,59033.76000000002,4.216697142857144
14,2015,15,SUNPHARMA,2015-01-01,2015-12-30,822.2,810.15,121,-1458.0500000000084,57575.71000000001,3.838380666666667
15,2015,16,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,119956.41,7.497275625000001
16,2015,17,HINDALCO,2015-01-01,2015-12-30,158.45,84.7,631,-46536.24999999999,73420.16,4.318832941176471
17,2015,18,APOLLOHOSP,2015-01-01,2015-12-30,1125.9,1462.15,88,29590.0,103010.16,5.722786666666667
18,2015,19,ASIANPAINT,2015-01-01,2015-12-30,749.15,878.15,133,17157.0,120167.16,6.324587368421053
19,2015,20,UPL,2015-01-01,2015-12-30,227.73,289.97,439,27323.360000000015,147490.52000000002,7.374526
20,2015,21,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,183198.52000000002,8.723739047619048
21,2015,22,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,175321.67,7.96916681818182
22,2015,23,ONGC,2015-01-01,2015-12-30,229.37,159.93,435,-30206.399999999998,145115.27000000002,6.309359565217392
23,2015,24,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,141940.52000000002,5.914188333333334
24,2015,25,BHARTIARTL,2015-01-01,2015-12-30,333.21,305.85,300,-8207.999999999987,133732.52000000002,5.349300800000001
25,2015,26,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,134764.0,5.183230769230769
26,2015,27,DABUR,2015-01-01,2015-12-30,232.4,275.0,430,18317.999999999996,153082.0,5.6697037037037035
27,2015,28,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,157596.0,5.628428571428572
28,2015,29,COLPAL,2015-01-01,2015-12-30,902.93,972.75,110,7680.200000000005,165276.2,5.699179310344828
29,2015,30,TVSMOTOR,2015-01-01,2015-12-30,277.55,290.25,360,4571.999999999996,169848.2,5.661606666666668
30,2016,1,GODREJCP,2016-01-01,2016-12-30,447.35,503.32,223,12481.309999999994,12481.309999999994,12.481309999999993
31,2016,2,MOTHERSON,2016-01-01,2016-12-30,88.0,96.73,1136,9917.280000000004,22398.589999999997,11.199294999999998
32,2016,3,HAVELLS,2016-01-01,2016-12-30,320.75,342.25,311,6686.5,29085.089999999997,9.69503
33,2016,4,HEROMOTOCO,2016-01-01,2016-12-30,2686.05,3043.65,37,13231.199999999997,42316.28999999999,10.579072499999999
34,2016,5,JINDALSTEL,2016-01-01,2016-12-30,94.2,69.2,1061,-26525.0,15791.289999999994,3.1582579999999987
35,2016,6,MUTHOOTFIN,2016-01-01,2016-12-30,178.75,282.7,559,58108.049999999996,73899.34,12.316556666666665
36,2016,7,IOC,2016-01-01,2016-12-30,72.21,108.35,1384,50017.76,123917.1,17.70244285714286
37,2016,8,DIVISLAB,2016-01-01,2016-12-30,1162.5,783.7,86,-32576.799999999996,91340.30000000002,11.417537500000002
38,2016,9,ITC,2016-01-01,2016-12-30,218.33,241.65,458,10680.559999999998,102020.86000000002,11.335651111111114
39,2016,10,DRREDDY,2016-01-01,2016-12-30,3108.6,3060.4,32,-1542.3999999999942,100478.46000000002,10.047846000000002
40,2016,11,HDFCBANK,2016-01-01,2016-12-30,544.38,603.1,183,10745.760000000006,111224.22000000003,10.11129272727273
41,2016,12,ICICIBANK,2016-01-01,2016-12-30,239.09,232.09,418,-2926.0,108298.22000000003,9.02485166666667
42,2016,13,SIEMENS,2016-01-01,2016-12-30,1202.65,1112.5,83,-7482.450000000008,100815.77000000002,7.755059230769231
43,2016,14,BRITANNIA,2016-01-01,2016-12-30,1493.2,1443.15,66,-3303.299999999997,97512.47000000002,6.965176428571429
44,2016,15,TVSMOTOR,2016-01-01,2016-12-30,286.65,360.5,348,25699.800000000007,123212.27000000002,8.214151333333335
45,2016,16,LT,2016-01-01,2016-12-30,859.47,899.4,116,4631.879999999994,127844.15000000001,7.990259375
46,2016,17,GRASIM,2016-01-01,2016-12-30,753.55,862.75,132,14414.400000000005,142258.55000000002,8.36815
47,2016,18,RELIANCE,2016-01-01,2016-12-30,502.91,536.12,198,6575.579999999996,148834.13,8.26856277777778
48,2016,19,BAJAJ-AUTO,2016-01-01,2016-12-30,2518.0,2632.2,39,4453.799999999993,153287.93,8.067785789473684
49,2016,20,ASIANPAINT,2016-01-01,2016-12-30,878.75,891.05,113,1389.8999999999949,154677.83,7.7338914999999995
50,2016,21,ABB,2016-01-01,2016-12-30,1116.45,1043.75,89,-6470.300000000004,148207.52999999997,7.0575014285714275
51,2016,22,CHOLAFIN,2016-01-01,2016-12-30,127.75,189.32,782,48147.74,196355.26999999996,8.925239545454545
52,2016,23,MARICO,2016-01-01,2016-12-30,227.15,260.45,440,14651.999999999993,211007.26999999996,9.174229130434782
53,2016,24,COALINDIA,2016-01-01,2016-12-30,334.05,300.0,299,-10180.950000000003,200826.31999999995,8.36776333333333
54,2016,25,BAJAJHLDNG,2016-01-01,2016-12-30,1677.1,1819.35,59,8392.75,209219.06999999995,8.368762799999999
55,2016,26,LTIM,2016-07-21,2016-12-30,697.6,680.05,143,-2509.6500000000096,206709.41999999993,7.950362307692305
56,2016,27,INFY,2016-01-01,2016-12-30,552.62,505.3,180,-8517.599999999999,198191.81999999992,7.340437777777775
57,2016,28,BAJFINANCE,2016-01-01,2016-12-30,609.59,842.2,164,38148.04,236339.85999999993,8.440709285714282
58,2016,29,ULTRACEMCO,2016-01-01,2016-12-30,2824.0,3250.2,35,14916.999999999993,251256.85999999993,8.664029655172412
59,2016,30,ADANIENT,2016-01-01,2016-12-30,90.1,76.55,1109,-15026.949999999997,236229.90999999992,7.87433033333333
60,2017,1,UPL,2017-01-02,2017-12-29,439.1,508.47,227,15746.990000000002,15746.990000000002,15.746990000000002
61,2017,2,SRF,2017-01-02,2017-12-29,311.68,396.24,320,27059.2,42806.19,21.403095000000004
62,2017,3,VEDL,2017-01-02,2017-12-29,220.95,329.9,452,49245.399999999994,92051.59,30.683863333333335
63,2017,4,ADANIPORTS,2017-01-02,2017-12-29,273.8,405.65,365,48125.249999999985,140176.83999999997,35.04420999999999
64,2017,5,BAJAJHLDNG,2017-01-02,2017-12-29,1825.65,2867.35,54,56251.79999999999,196428.63999999996,39.28572799999999
65,2017,6,DMART,2017-03-21,2017-12-29,641.6,1181.35,155,83661.24999999999,280089.88999999996,46.68164833333333
66,2017,7,ZYDUSLIFE,2017-01-02,2017-12-29,354.5,433.5,282,22278.0,302367.88999999996,43.19541285714285
67,2017,8,BAJAJFINSV,2017-01-02,2017-12-29,294.96,523.04,339,77319.12,379687.00999999995,47.46087625
68,2017,9,PIIND,2017-01-02,2017-12-29,826.85,962.5,120,16277.999999999996,395965.00999999995,43.996112222222216
69,2017,10,TECHM,2017-01-02,2017-12-29,488.0,504.05,204,3274.2000000000025,399239.20999999996,39.92392099999999
70,2017,11,GAIL,2017-01-02,2017-12-29,81.59,124.91,1225,53066.99999999999,452306.20999999996,41.11874636363636
71,2017,12,TITAN,2017-01-02,2017-12-29,333.95,858.15,299,156735.80000000002,609042.01,50.753500833333334
72,2017,13,PNB,2017-01-02,2017-12-29,115.6,171.4,865,48267.00000000001,657309.01,50.562231538461546
73,2017,14,KOTAKBANK,2017-01-02,2017-12-29,714.8,1010.2,139,41060.60000000001,698369.61,49.88354357142857
74,2017,15,COALINDIA,2017-01-02,2017-12-29,300.05,262.95,333,-12354.300000000008,686015.3099999999,45.734353999999996
75,2017,16,AXISBANK,2017-01-02,2017-12-29,447.75,563.95,223,25912.60000000001,711927.9099999999,44.49549437499999
76,2017,17,SUNPHARMA,2017-01-02,2017-12-29,634.05,571.15,157,-9875.299999999996,702052.6099999999,41.29721235294117
77,2017,18,BEL,2017-01-02,2017-12-29,41.38,60.72,2416,46725.43999999999,748778.0499999998,41.59878055555555
78,2017,19,INFY,2017-01-02,2017-12-29,500.55,521.03,199,4075.5199999999923,752853.5699999998,39.623872105263146
79,2017,20,TATAPOWER,2017-01-02,2017-12-29,75.4,93.5,1326,24000.59999999999,776854.1699999998,38.842708499999986
80,2017,21,HDFCLIFE,2017-11-17,2017-12-29,344.6,386.0,290,12005.999999999993,788860.1699999998,37.56476999999999
81,2017,22,CIPLA,2017-01-02,2017-12-29,566.0,608.5,176,7480.0,796340.1699999998,36.19728045454544
82,2017,23,HCLTECH,2017-01-02,2017-12-29,414.25,445.25,241,7471.0,803811.1699999998,34.948311739130425
83,2017,24,INDIGO,2017-01-02,2017-12-29,822.35,1205.5,121,46361.149999999994,850172.3199999998,35.423846666666655
84,2017,25,BAJAJ-AUTO,2017-01-02,2017-12-29,2598.5,3333.6,38,27933.799999999996,878106.1199999999,35.12424479999999
85,2017,26,NTPC,2017-01-02,2017-12-29,137.33,147.5,728,7403.759999999991,885509.8799999999,34.058072307692306
86,2017,27,HDFCBANK,2017-01-02,2017-12-29,598.55,936.2,167,56387.55000000002,941897.4299999999,34.88509
87,2017,28,DABUR,2017-01-02,2017-12-29,277.15,349.7,360,26118.000000000004,968015.4299999999,34.571979642857144
88,2017,29,IOC,2017-01-02,2017-12-29,109.15,129.52,916,18658.920000000006,986674.35,34.02325344827586
89,2017,30,LTIM,2017-01-02,2017-12-29,680.3,1118.85,146,64028.299999999996,1050702.65,35.023421666666664
90,2018,1,JINDALSTEL,2018-01-01,2018-12-28,206.2,161.05,484,-21852.599999999988,-21852.599999999988,-21.85259999999999
91,2018,2,GAIL,2018-01-01,2018-12-28,124.66,118.77,802,-4723.780000000001,-26576.37999999999,-13.288189999999995
92,2018,3,DABUR,2018-01-01,2018-12-28,349.0,433.25,286,24095.5,-2480.87999999999,-0.8269599999999967
93,2018,4,M&M,2018-01-01,2018-12-28,744.65,803.55,134,7892.599999999997,5411.720000000007,1.3529300000000017
94,2018,5,BERGEPAINT,2018-01-01,2018-12-28,224.08,275.12,446,22763.839999999997,28175.560000000005,5.635112000000001
95,2018,6,HINDUNILVR,2018-01-01,2018-12-28,1344.5,1822.05,74,35338.7,63514.26,10.58571
96,2018,7,ADANIENT,2018-01-01,2018-12-28,166.05,161.55,602,-2709.0,60805.26,8.686465714285713
97,2018,8,NAUKRI,2018-01-01,2018-12-28,1380.75,1454.25,72,5292.0,66097.26000000001,8.262157500000002
98,2018,9,INDIGO,2018-01-01,2018-12-28,1203.0,1178.5,83,-2033.5,64063.76000000001,7.118195555555556
99,2018,10,TATAPOWER,2018-01-01,2018-12-28,97.15,77.1,1029,-20631.45000000001,43432.31,4.343230999999999
100,2018,11,HAL,2018-03-28,2018-12-28,566.42,395.3,176,-30117.11999999999,13315.190000000006,1.2104718181818188
101,2018,12,ASIANPAINT,2018-01-01,2018-12-28,1143.65,1366.0,87,19344.449999999993,32659.64,2.7216366666666665
102,2018,13,PGHH,2018-01-01,2018-12-28,9475.0,9884.1,10,4091.0000000000036,36750.64,2.8269723076923077
103,2018,14,PIIND,2018-01-01,2018-12-28,958.65,857.15,104,-10556.0,26194.64,1.8710457142857142
104,2018,15,TATAMOTORS,2018-01-01,2018-12-28,424.45,170.85,235,-59596.0,-33401.36,-2.226757333333333
105,2018,16,MARUTI,2018-01-01,2018-12-28,9651.9,7505.55,10,-21463.499999999993,-54864.85999999999,-3.4290537499999996
106,2018,17,BAJFINANCE,2018-01-01,2018-12-28,1725.65,2634.8,57,51821.55,-3043.3099999999904,-0.1790182352941171
107,2018,18,VBL,2018-01-01,2018-12-28,97.1,112.2,1029,15537.900000000009,12494.590000000018,0.6941438888888899
108,2018,19,LTIM,2018-01-01,2018-12-28,1145.4,1731.0,87,50947.19999999999,63441.79000000001,3.3390415789473686
109,2018,20,POWERGRID,2018-01-01,2018-12-28,112.89,111.12,885,-1566.4499999999964,61875.34000000001,3.0937670000000006
110,2018,21,HDFCBANK,2018-01-01,2018-12-28,927.25,1061.45,107,14359.400000000005,76234.74000000002,3.6302257142857153
111,2018,22,ZYDUSLIFE,2018-01-01,2018-12-28,432.55,345.3,231,-20154.75,56079.99000000002,2.5490904545454556
112,2018,23,LT,2018-01-01,2018-12-28,1260.7,1439.4,79,14117.300000000003,70197.29000000002,3.0520560869565228
113,2018,24,BOSCHLTD,2018-01-01,2018-12-28,19791.9,19629.75,5,-810.7500000000073,69386.54000000001,2.8911058333333335
114,2018,25,TITAN,2018-01-01,2018-12-28,852.45,922.7,117,8219.25,77605.79000000001,3.1042316000000003
115,2018,26,GODREJCP,2018-01-01,2018-12-28,657.5,810.85,152,23309.200000000004,100914.99000000002,3.88134576923077
