,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,ADANIPORTS,2015-01-01,2015-12-30,319.55,261.75,312,-18033.600000000002,-18033.600000000002,-18.033600000000003
1,2015,2,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,-25910.449999999997,-12.955224999999999
2,2015,3,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,-28680.299999999996,-9.560099999999998
3,2015,4,BAJFINANCE,2015-01-01,2015-12-30,349.97,597.42,285,70523.24999999999,41842.94999999999,10.460737499999997
4,2015,5,MUTHOOTFIN,2015-01-01,2015-12-30,214.4,178.8,466,-16589.6,25253.34999999999,5.050669999999998
5,2015,6,IOC,2015-01-01,2015-12-30,56.08,70.98,1783,26566.70000000001,51820.05,8.636675
6,2015,7,NAUKRI,2015-01-01,2015-12-30,855.75,862.7,116,806.2000000000053,52626.25000000001,7.518035714285716
7,2015,8,APOLLOHOSP,2015-01-01,2015-12-30,1125.9,1462.15,88,29590.0,82216.25,10.27703125
8,2015,9,ITC,2015-01-01,2015-12-30,244.77,217.7,408,-11044.560000000009,71171.68999999999,7.907965555555554
9,2015,10,SBIN,2015-01-01,2015-12-30,314.0,225.8,318,-28047.599999999995,43124.09,4.312409
10,2015,11,GAIL,2015-01-01,2015-12-30,82.99,69.03,1204,-16807.839999999993,26316.250000000004,2.392386363636364
11,2015,12,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,35752.23,2.9793525
12,2015,13,SUNPHARMA,2015-01-01,2015-12-30,822.2,810.15,121,-1458.0500000000084,34294.17999999999,2.6380138461538456
13,2015,14,GODREJCP,2015-01-01,2015-12-30,321.97,426.68,310,32460.099999999995,66754.27999999998,4.7681628571428565
14,2015,15,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,67785.75999999998,4.519050666666665
