,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,35708.0,35.708
1,2015,2,SUNPHARMA,2015-01-01,2015-12-30,822.2,810.15,121,-1458.0500000000084,34249.94999999999,17.124974999999996
2,2015,3,ONGC,2015-01-01,2015-12-30,229.37,159.93,435,-30206.399999999998,4043.549999999992,1.3478499999999973
3,2015,4,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,66424.24999999999,16.606062499999997
4,2015,5,MCDOWELL-N,2015-01-01,2015-12-30,563.66,584.92,177,3763.0199999999986,70187.26999999999,14.037453999999999
5,2015,6,BAJFINANCE,2015-01-01,2015-12-30,349.97,597.42,285,70523.24999999999,140710.51999999996,23.45175333333333
6,2015,7,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,159432.51999999996,22.77607428571428
7,2015,8,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,168868.49999999997,21.108562499999998
8,2015,9,HINDUNILVR,2015-01-01,2015-12-30,758.45,857.45,131,12969.0,181837.49999999997,20.204166666666666
9,2015,10,IOC,2015-01-01,2015-12-30,56.08,70.98,1783,26566.70000000001,208404.19999999998,20.840419999999998
10,2015,11,NESTLEIND,2015-01-01,2015-12-30,6317.95,5839.85,15,-7171.499999999992,201232.69999999998,18.293881818181816
11,2015,12,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,205746.69999999998,17.145558333333334
12,2015,13,COALINDIA,2015-01-01,2015-12-30,380.05,322.1,263,-15240.849999999997,190505.84999999998,14.654296153846152
13,2015,14,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,187331.09999999998,13.380792857142856
14,2015,15,AXISBANK,2015-01-01,2015-12-30,503.05,455.1,198,-9494.099999999999,177836.99999999997,11.855799999999999
15,2015,16,NAUKRI,2015-01-01,2015-12-30,855.75,862.7,116,806.2000000000053,178643.19999999998,11.165199999999999
16,2015,17,PIDILITIND,2015-01-01,2015-12-30,549.25,550.4,182,209.29999999999586,178852.49999999997,10.520735294117646
17,2015,18,HDFCBANK,2015-01-01,2015-12-30,476.02,537.15,210,12837.3,191689.79999999996,10.64943333333333
18,2015,19,MOTHERSON,2015-01-01,2015-12-30,89.96,87.01,1111,-3277.4499999999875,188412.34999999998,9.916439473684209
19,2015,20,HEROMOTOCO,2015-01-01,2015-12-30,3105.4,2712.95,32,-12558.400000000009,175853.94999999995,8.792697499999997
20,2015,21,TATAMOTORS,2015-01-01,2015-12-30,493.16,393.45,202,-20141.420000000006,155712.52999999994,7.4148823809523785
21,2015,22,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,168821.77999999994,7.673717272727271
22,2015,23,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,172764.97999999995,7.511520869565215
23,2015,24,TECHM,2015-01-01,2015-12-30,648.64,525.15,154,-19017.460000000003,153747.51999999996,6.406146666666665
24,2015,25,BANKBARODA,2015-01-01,2015-12-30,216.61,156.1,461,-27895.110000000008,125852.40999999995,5.034096399999998
25,2015,26,SBIN,2015-01-01,2015-12-30,314.0,225.8,318,-28047.599999999995,97804.80999999995,3.76172346153846
26,2015,27,POWERGRID,2015-01-01,2015-12-30,77.31,79.51,1293,2844.6000000000035,100649.40999999996,3.727755925925925
27,2015,28,BERGEPAINT,2015-01-01,2015-12-30,120.64,158.69,828,31505.399999999998,132154.80999999997,4.719814642857142
28,2015,29,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,129384.95999999998,4.461550344827585
29,2015,30,SIEMENS,2015-01-01,2015-12-30,906.7,1193.65,110,31564.500000000004,160949.46,5.3649819999999995
