,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,HCLTECH,2015-01-01,2015-12-30,401.7,420.25,248,4600.400000000003,4600.400000000003,4.600400000000003
1,2015,2,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,13101.950000000008,6.550975000000003
2,2015,3,TORNTPHARM,2015-01-01,2015-12-30,572.75,729.05,174,27196.199999999993,40298.15,13.432716666666666
3,2015,4,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,37528.3,9.382075
4,2015,5,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,46964.28,9.392856
5,2015,6,BAJFINANCE,2015-01-01,2015-12-30,349.97,597.42,285,70523.24999999999,117487.52999999998,19.581255
6,2015,7,HEROMOTOCO,2015-01-01,2015-12-30,3105.4,2712.95,32,-12558.400000000009,104929.12999999998,14.989875714285711
7,2015,8,BANKBARODA,2015-01-01,2015-12-30,216.61,156.1,461,-27895.110000000008,77034.01999999996,9.629252499999994
8,2015,9,SRF,2015-01-01,2015-12-30,175.28,253.91,570,44819.1,121853.11999999997,13.539235555555551
9,2015,10,BAJAJHLDNG,2015-01-01,2015-12-30,1407.1,1650.1,71,17253.0,139106.11999999997,13.910611999999997
10,2015,11,NAUKRI,2015-01-01,2015-12-30,855.75,862.7,116,806.2000000000053,139912.31999999998,12.719301818181815
11,2015,12,MOTHERSON,2015-01-01,2015-12-30,89.96,87.01,1111,-3277.4499999999875,136634.87,11.386239166666666
12,2015,13,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,155598.37,11.969105384615384
13,2015,14,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,141114.66999999998,10.079619285714285
14,2015,15,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,203495.37,13.566358000000001
15,2015,16,TATACONSUM,2015-01-01,2015-12-30,150.7,146.35,663,-2884.049999999996,200611.32,12.5382075
16,2015,17,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,213720.57,12.571798235294118
17,2015,18,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,205843.72,11.435762222222221
18,2015,19,ADANIPORTS,2015-01-01,2015-12-30,319.55,261.75,312,-18033.600000000002,187810.12,9.884743157894736
19,2015,20,MUTHOOTFIN,2015-01-01,2015-12-30,214.4,178.8,466,-16589.6,171220.52,8.561026
20,2015,21,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,207475.8,9.8798
21,2015,22,INFY,2015-01-01,2015-12-30,493.6,543.15,202,10009.099999999991,217484.89999999997,9.885677272727271
22,2015,23,CHOLAFIN,2015-01-01,2015-12-30,94.6,128.35,1057,35673.75,253158.64999999997,11.006897826086954
23,2015,24,MARICO,2015-01-01,2015-12-30,161.93,225.5,617,39222.689999999995,292381.33999999997,12.182555833333332
24,2015,25,TATASTEEL,2015-01-01,2015-12-30,40.43,25.86,2473,-36031.61,256349.72999999998,10.2539892
25,2015,26,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,251949.47999999998,9.690364615384613
26,2015,27,JSWSTEEL,2015-01-01,2015-12-30,106.59,102.75,938,-3601.9200000000033,248347.55999999997,9.198057777777777
27,2015,28,NTPC,2015-01-01,2015-12-30,118.71,120.88,842,1827.1400000000015,250174.69999999998,8.934810714285714
28,2015,29,M&M,2015-01-01,2015-12-30,618.53,631.5,161,2088.1700000000046,252262.87,8.698719655172415
29,2015,30,HINDALCO,2015-01-01,2015-12-30,158.45,84.7,631,-46536.24999999999,205726.62,6.857554
30,2016,1,UPL,2016-01-01,2016-12-30,293.57,431.33,340,46838.399999999994,46838.399999999994,46.8384
31,2016,2,HCLTECH,2016-01-01,2016-12-30,422.92,413.98,236,-2109.8399999999992,44728.56,22.364279999999997
32,2016,3,LT,2016-01-01,2016-12-30,859.47,899.4,116,4631.879999999994,49360.43999999999,16.453479999999995
33,2016,4,LTIM,2016-07-21,2016-12-30,697.6,680.05,143,-2509.6500000000096,46850.78999999998,11.712697499999996
34,2016,5,BERGEPAINT,2016-01-01,2016-12-30,155.48,175.46,643,12847.140000000012,59697.92999999999,11.939585999999998
35,2016,6,JSWSTEEL,2016-01-01,2016-12-30,102.7,162.75,973,58428.649999999994,118126.57999999999,19.68776333333333
36,2016,7,COLPAL,2016-01-01,2016-12-30,976.75,904.6,102,-7359.299999999997,110767.27999999998,15.82389714285714
37,2016,8,EICHERMOT,2016-01-01,2016-12-30,1737.08,2180.31,57,25264.11,136031.38999999998,17.00392375
38,2016,9,KOTAKBANK,2016-01-01,2016-12-30,727.25,719.7,137,-1034.3499999999938,134997.03999999998,14.999671111111109
39,2016,10,AXISBANK,2016-01-01,2016-12-30,449.9,449.95,222,11.100000000002524,135008.13999999998,13.500814
40,2016,11,SBIN,2016-01-01,2016-12-30,227.8,250.2,438,9811.19999999999,144819.33999999997,13.165394545454543
41,2016,12,NESTLEIND,2016-01-01,2016-12-30,5785.15,6028.35,17,4134.400000000012,148953.74,12.412811666666666
42,2016,13,JINDALSTEL,2016-01-01,2016-12-30,94.2,69.2,1061,-26525.0,122428.73999999999,9.417595384615383
43,2016,14,INDUSINDBK,2016-01-01,2016-12-30,963.85,1107.9,103,14837.150000000007,137265.88999999998,9.804706428571427
44,2016,15,ONGC,2016-01-01,2016-12-30,161.67,191.35,618,18342.240000000005,155608.13,10.373875333333334
45,2016,16,PIDILITIND,2016-01-01,2016-12-30,555.5,589.8,180,6173.999999999992,161782.13,10.111383125000001
46,2016,17,BAJAJFINSV,2016-01-01,2016-12-30,198.38,289.49,504,45919.44000000001,207701.57,12.217739411764708
47,2016,18,GODREJCP,2016-01-01,2016-12-30,447.35,503.32,223,12481.309999999994,220182.88,12.232382222222222
48,2016,19,DIVISLAB,2016-01-01,2016-12-30,1162.5,783.7,86,-32576.799999999996,187606.08000000002,9.874004210526317
49,2016,20,BANKBARODA,2016-01-01,2016-12-30,159.05,153.4,628,-3548.2000000000035,184057.88,9.202894
50,2016,21,MARICO,2016-01-01,2016-12-30,227.15,260.45,440,14651.999999999993,198709.88,9.46237523809524
51,2016,22,TVSMOTOR,2016-01-01,2016-12-30,286.65,360.5,348,25699.800000000007,224409.68000000002,10.20044
52,2016,23,TATAMOTORS,2016-01-01,2016-12-30,401.9,472.0,248,17384.800000000007,241794.48000000004,10.51280347826087
53,2016,24,MUTHOOTFIN,2016-01-01,2016-12-30,178.75,282.7,559,58108.049999999996,299902.53,12.49593875
54,2016,25,TATASTEEL,2016-01-01,2016-12-30,25.73,39.11,3886,51994.67999999999,351897.21,14.0758884
55,2016,26,TECHM,2016-01-01,2016-12-30,520.05,488.9,192,-5980.799999999996,345916.41000000003,13.30447730769231
56,2016,27,COALINDIA,2016-01-01,2016-12-30,334.05,300.0,299,-10180.950000000003,335735.46,12.434646666666668
57,2016,28,HINDUNILVR,2016-01-01,2016-12-30,856.55,826.35,116,-3503.199999999992,332232.26,11.865437857142858
58,2016,29,TATACONSUM,2016-01-01,2016-12-30,146.4,122.0,683,-16665.200000000004,315567.06,10.881622758620688
59,2016,30,DRREDDY,2016-01-01,2016-12-30,3108.6,3060.4,32,-1542.3999999999942,314024.66000000003,10.467488666666668
60,2017,1,HDFCLIFE,2017-11-17,2017-12-29,344.6,386.0,290,12005.999999999993,12005.999999999993,12.005999999999993
61,2017,2,NESTLEIND,2017-01-02,2017-12-29,5974.4,7870.9,16,30344.0,42349.99999999999,21.174999999999997
62,2017,3,AMBUJACEM,2017-01-02,2017-12-29,214.6,272.05,465,26714.250000000007,69064.25,23.021416666666667
63,2017,4,BEL,2017-01-02,2017-12-29,41.38,60.72,2416,46725.43999999999,115789.68999999999,28.9474225
64,2017,5,LT,2017-01-02,2017-12-29,906.4,1258.25,110,38703.5,154493.19,30.898638000000002
65,2017,6,RELIANCE,2017-01-02,2017-12-29,537.46,912.4,186,69738.83999999998,224232.02999999997,37.372004999999994
66,2017,7,SRF,2017-01-02,2017-12-29,311.68,396.24,320,27059.2,251291.22999999998,35.89874714285714
67,2017,8,KOTAKBANK,2017-01-02,2017-12-29,714.8,1010.2,139,41060.60000000001,292351.83,36.54397875
68,2017,9,HINDALCO,2017-01-02,2017-12-29,158.85,273.55,629,72146.30000000002,364498.13,40.499792222222226
69,2017,10,BHARTIARTL,2017-01-02,2017-12-29,285.55,486.31,350,70266.0,434764.13,43.476413
70,2017,11,MOTHERSON,2017-01-02,2017-12-29,97.14,168.56,1029,73491.18000000001,508255.31,46.20502818181818
71,2017,12,DRREDDY,2017-01-02,2017-12-29,3083.4,2414.2,32,-21414.40000000001,486840.91,40.57007583333333
72,2017,13,BAJFINANCE,2017-01-02,2017-12-29,870.05,1756.7,114,101078.1,587919.01,45.22453923076923
73,2017,14,TITAN,2017-01-02,2017-12-29,333.95,858.15,299,156735.80000000002,744654.81,53.18962928571429
74,2017,15,CHOLAFIN,2017-01-02,2017-12-29,189.99,259.91,526,36777.920000000006,781432.7300000001,52.09551533333334
75,2017,16,EICHERMOT,2017-01-02,2017-12-29,2252.4,3034.08,44,34393.91999999999,815826.6500000001,50.98916562500001
76,2017,17,TATASTEEL,2017-01-02,2017-12-29,40.66,73.22,2459,80065.04000000001,895891.6900000002,52.6995111764706
77,2017,18,UPL,2017-01-02,2017-12-29,439.1,508.47,227,15746.990000000002,911638.6800000002,50.64659333333334
78,2017,19,ITC,2017-01-02,2017-12-29,240.95,263.25,415,9254.500000000005,920893.1800000002,48.468062105263165
79,2017,20,LTIM,2017-01-02,2017-12-29,680.3,1118.85,146,64028.299999999996,984921.4800000002,49.246074000000014
80,2017,21,TVSMOTOR,2017-01-02,2017-12-29,367.65,770.7,271,109226.55000000002,1094148.0300000003,52.10228714285715
81,2017,22,NTPC,2017-01-02,2017-12-29,137.33,147.5,728,7403.759999999991,1101551.7900000003,50.07053590909092
82,2017,23,ICICIBANK,2017-01-02,2017-12-29,229.05,314.0,436,37038.2,1138589.9900000002,49.50391260869566
83,2017,24,HAVELLS,2017-01-02,2017-12-29,341.85,562.45,292,64415.200000000004,1203005.1900000002,50.12521625
84,2017,25,BRITANNIA,2017-01-02,2017-12-29,1443.22,2354.62,69,62886.59999999999,1265891.7900000003,50.63567160000001
85,2017,26,MARUTI,2017-01-02,2017-12-29,5466.0,9729.55,18,76743.9,1342635.6900000002,51.63983423076923
86,2017,27,BANKBARODA,2017-01-02,2017-12-29,148.9,160.65,671,7884.25,1350519.9400000002,50.01925703703704
87,2017,28,CIPLA,2017-01-02,2017-12-29,566.0,608.5,176,7480.0,1357999.9400000002,48.499997857142866
88,2017,29,HDFCBANK,2017-01-02,2017-12-29,598.55,936.2,167,56387.55000000002,1414387.4900000002,48.77198241379311
89,2017,30,IOC,2017-01-02,2017-12-29,109.15,129.52,916,18658.920000000006,1433046.4100000001,47.76821366666667
90,2018,1,SIEMENS,2018-01-01,2018-12-28,1238.2,1043.35,80,-15588.000000000011,-15588.000000000011,-15.58800000000001
91,2018,2,ATGL,2018-11-05,2018-12-28,75.6,101.2,1322,33843.20000000001,18255.2,9.127600000000001
92,2018,3,ITC,2018-01-01,2018-12-28,262.3,282.25,381,7600.949999999995,25856.149999999994,8.618716666666664
93,2018,4,COLPAL,2018-01-01,2018-12-28,1102.6,1320.15,90,19579.500000000015,45435.65000000001,11.358912500000002
94,2018,5,SHREECEM,2018-01-01,2018-12-28,17929.1,17227.05,5,-3510.2499999999964,41925.40000000001,8.385080000000002
95,2018,6,BERGEPAINT,2018-01-01,2018-12-28,224.08,275.12,446,22763.839999999997,64689.240000000005,10.78154
96,2018,7,M&M,2018-01-01,2018-12-28,744.65,803.55,134,7892.599999999997,72581.84,10.368834285714284
97,2018,8,COALINDIA,2018-01-01,2018-12-28,266.65,242.3,375,-9131.249999999987,63450.59000000001,7.931323750000001
98,2018,9,CANBK,2018-01-01,2018-12-28,360.7,277.45,277,-23060.25,40390.34000000001,4.487815555555557
99,2018,10,BAJAJ-AUTO,2018-01-01,2018-12-28,3289.25,2717.5,30,-17152.5,23237.84000000001,2.3237840000000007
100,2018,11,TECHM,2018-01-01,2018-12-28,503.1,714.0,198,41758.2,64996.04000000001,5.9087309090909095
101,2018,12,SHRIRAMFIN,2018-01-01,2018-12-28,1473.45,1224.45,67,-16683.0,48313.04000000001,4.026086666666667
102,2018,13,BANKBARODA,2018-01-01,2018-12-28,161.5,118.35,619,-26709.850000000002,21603.190000000006,1.6617838461538466
103,2018,14,NTPC,2018-01-01,2018-12-28,147.12,124.88,679,-15100.960000000006,6502.23,0.46444499999999994
104,2018,15,JSWSTEEL,2018-01-01,2018-12-28,265.8,298.1,376,12144.800000000005,18647.030000000006,1.2431353333333337
105,2018,16,HINDALCO,2018-01-01,2018-12-28,271.15,223.5,368,-17535.19999999999,1111.8300000000163,0.06948937500000102
106,2018,17,HDFCBANK,2018-01-01,2018-12-28,927.25,1061.45,107,14359.400000000005,15471.230000000021,0.9100723529411778
107,2018,18,MCDOWELL-N,2018-01-01,2018-12-28,728.76,638.65,137,-12345.070000000002,3126.16000000002,0.17367555555555667
108,2018,19,ADANIGREEN,2018-06-18,2018-12-28,31.5,41.7,3174,32374.80000000001,35500.96000000003,1.86847157894737
109,2018,20,DABUR,2018-01-01,2018-12-28,349.0,433.25,286,24095.5,59596.46000000003,2.9798230000000014
