,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,MUTHOOTFIN,2015-01-01,2015-12-30,214.4,178.8,466,-16589.6,-16589.6,-16.589599999999997
1,2015,2,NTPC,2015-01-01,2015-12-30,118.71,120.88,842,1827.1400000000015,-14762.459999999997,-7.381229999999999
2,2015,3,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,-29246.160000000003,-9.74872
3,2015,4,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,-37123.01,-9.2807525
4,2015,5,UPL,2015-01-01,2015-12-30,227.73,289.97,439,27323.360000000015,-9799.649999999987,-1.9599299999999973
5,2015,6,ZYDUSLIFE,2015-01-01,2015-12-30,322.4,384.25,310,19173.500000000007,9373.85000000002,1.5623083333333367
6,2015,7,TCS,2015-01-01,2015-12-30,1272.78,1209.15,78,-4963.13999999999,4410.71000000003,0.6301014285714329
7,2015,8,ITC,2015-01-01,2015-12-30,244.77,217.7,408,-11044.560000000009,-6633.8499999999785,-0.8292312499999973
8,2015,9,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,2802.130000000021,0.3113477777777801
9,2015,10,MOTHERSON,2015-01-01,2015-12-30,89.96,87.01,1111,-3277.4499999999875,-475.3199999999665,-0.047531999999996646
10,2015,11,CHOLAFIN,2015-01-01,2015-12-30,94.6,128.35,1057,35673.75,35198.43000000004,3.199857272727276
11,2015,12,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,30798.18000000004,2.5665150000000034
12,2015,13,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,66506.18000000004,5.115860000000002
13,2015,14,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,63331.43000000004,4.523673571428574
14,2015,15,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,82053.43000000005,5.47022866666667
15,2015,16,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,101016.93000000005,6.313558125000003
16,2015,17,ADANIPORTS,2015-01-01,2015-12-30,319.55,261.75,312,-18033.600000000002,82983.33000000005,4.881372352941179
17,2015,18,M&M,2015-01-01,2015-12-30,618.53,631.5,161,2088.1700000000046,85071.50000000004,4.726194444444447
18,2015,19,PNB,2015-01-01,2015-12-30,219.65,117.8,455,-46341.75000000001,38729.75000000004,2.038407894736844
19,2015,20,AXISBANK,2015-01-01,2015-12-30,503.05,455.1,198,-9494.099999999999,29235.650000000038,1.4617825000000018
20,2015,21,INFY,2015-01-01,2015-12-30,493.6,543.15,202,10009.099999999991,39244.75000000003,1.8687976190476203
21,2015,22,HINDALCO,2015-01-01,2015-12-30,158.45,84.7,631,-46536.24999999999,-7291.499999999964,-0.33143181818181655
22,2015,23,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,5817.750000000036,0.2529456521739146
23,2015,24,BAJAJHLDNG,2015-01-01,2015-12-30,1407.1,1650.1,71,17253.0,23070.750000000036,0.9612812500000015
24,2015,25,DIVISLAB,2015-01-01,2015-12-30,872.73,1158.6,114,32589.179999999986,55659.93000000002,2.226397200000001
25,2015,26,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,56691.41000000002,2.1804388461538466
26,2015,27,INDUSINDBK,2015-01-01,2015-12-30,812.0,968.55,123,19255.649999999994,75947.06000000001,2.812854074074074
27,2015,28,TATAMTRDVR,2015-01-01,2015-12-30,331.19,289.9,301,-12428.290000000006,63518.770000000004,2.2685275000000003
28,2015,29,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,72020.32,2.483459310344828
29,2015,30,BHARTIARTL,2015-01-01,2015-12-30,333.21,305.85,300,-8207.999999999987,63812.32000000002,2.127077333333334
30,2016,1,BAJAJFINSV,2016-01-01,2016-12-30,198.38,289.49,504,45919.44000000001,45919.44000000001,45.91944000000001
31,2016,2,NAUKRI,2016-01-01,2016-12-30,880.0,895.9,113,1796.6999999999975,47716.14000000001,23.858070000000005
32,2016,3,HINDALCO,2016-01-01,2016-12-30,84.9,155.05,1177,82566.55,130282.69,43.42756333333334
33,2016,4,TATAMTRDVR,2016-01-01,2016-12-30,296.6,299.1,337,842.5,131125.19,32.7812975
34,2016,5,MARUTI,2016-01-01,2016-12-30,4638.5,5319.55,21,14302.050000000003,145427.24,29.085447999999996
35,2016,6,NESTLEIND,2016-01-01,2016-12-30,5785.15,6028.35,17,4134.400000000012,149561.64,24.926940000000002
36,2016,7,EICHERMOT,2016-01-01,2016-12-30,1737.08,2180.31,57,25264.11,174825.75,24.97510714285714
37,2016,8,BAJAJHLDNG,2016-01-01,2016-12-30,1677.1,1819.35,59,8392.75,183218.5,22.9023125
38,2016,9,ICICIBANK,2016-01-01,2016-12-30,239.09,232.09,418,-2926.0,180292.5,20.0325
39,2016,10,DABUR,2016-01-01,2016-12-30,276.4,278.15,361,631.75,180924.25,18.092425000000002
40,2016,11,BOSCHLTD,2016-01-01,2016-12-30,19199.1,21049.95,5,9254.250000000011,190178.5,17.288954545454548
41,2016,12,DLF,2016-01-01,2016-12-30,121.55,111.4,822,-8343.299999999994,181835.2,15.152933333333335
42,2016,13,SRF,2016-01-01,2016-12-30,252.62,309.29,395,22384.650000000005,204219.85,15.70921923076923
43,2016,14,COLPAL,2016-01-01,2016-12-30,976.75,904.6,102,-7359.299999999997,196860.55000000002,14.061467857142858
44,2016,15,KOTAKBANK,2016-01-01,2016-12-30,727.25,719.7,137,-1034.3499999999938,195826.2,13.05508
45,2016,16,M&M,2016-01-01,2016-12-30,632.67,592.35,158,-6370.55999999999,189455.64,11.840977500000001
46,2016,17,PNB,2016-01-01,2016-12-30,117.6,115.45,850,-1827.4999999999927,187628.14,11.036949411764708
47,2016,18,POWERGRID,2016-01-01,2016-12-30,79.51,103.48,1257,30130.289999999997,217758.43000000002,12.097690555555557
48,2016,19,LTIM,2016-07-21,2016-12-30,697.6,680.05,143,-2509.6500000000096,215248.78,11.328883157894737
49,2016,20,SIEMENS,2016-01-01,2016-12-30,1202.65,1112.5,83,-7482.450000000008,207766.33,10.3883165
50,2016,21,INDUSINDBK,2016-01-01,2016-12-30,963.85,1107.9,103,14837.150000000007,222603.47999999998,10.600165714285712
51,2016,22,ABB,2016-01-01,2016-12-30,1116.45,1043.75,89,-6470.300000000004,216133.17999999996,9.824235454545454
52,2016,23,MCDOWELL-N,2016-01-01,2016-12-30,602.1,388.56,166,-35447.64000000001,180685.53999999995,7.855893043478258
53,2016,24,JSWSTEEL,2016-01-01,2016-12-30,102.7,162.75,973,58428.649999999994,239114.18999999994,9.963091249999998
54,2016,25,MUTHOOTFIN,2016-01-01,2016-12-30,178.75,282.7,559,58108.049999999996,297222.23999999993,11.888889599999997
55,2016,26,ASIANPAINT,2016-01-01,2016-12-30,878.75,891.05,113,1389.8999999999949,298612.13999999996,11.485082307692306
56,2016,27,TATACONSUM,2016-01-01,2016-12-30,146.4,122.0,683,-16665.200000000004,281946.93999999994,10.442479259259258
57,2016,28,SHREECEM,2016-01-01,2016-12-30,11383.55,14733.4,8,26798.800000000003,308745.73999999993,11.026633571428569
58,2016,29,DIVISLAB,2016-01-01,2016-12-30,1162.5,783.7,86,-32576.799999999996,276168.93999999994,9.523066896551722
59,2016,30,IOC,2016-01-01,2016-12-30,72.21,108.35,1384,50017.76,326186.69999999995,10.872889999999998
60,2017,1,INDUSINDBK,2017-01-02,2017-12-29,1087.45,1648.9,91,51091.950000000004,51091.950000000004,51.09195000000001
61,2017,2,MUTHOOTFIN,2017-01-02,2017-12-29,285.2,474.65,350,66307.5,117399.45000000001,58.699725
62,2017,3,HDFCLIFE,2017-11-17,2017-12-29,344.6,386.0,290,12005.999999999993,129405.45000000001,43.13515
63,2017,4,M&M,2017-01-02,2017-12-29,614.9,751.1,162,22064.40000000001,151469.85000000003,37.86746250000001
64,2017,5,DRREDDY,2017-01-02,2017-12-29,3083.4,2414.2,32,-21414.40000000001,130055.45000000003,26.011090000000003
65,2017,6,INDIGO,2017-01-02,2017-12-29,822.35,1205.5,121,46361.149999999994,176416.60000000003,29.402766666666675
66,2017,7,COALINDIA,2017-01-02,2017-12-29,300.05,262.95,333,-12354.300000000008,164062.30000000002,23.43747142857143
67,2017,8,LT,2017-01-02,2017-12-29,906.4,1258.25,110,38703.5,202765.80000000002,25.345725
68,2017,9,ONGC,2017-01-02,2017-12-29,192.25,195.2,520,1533.999999999994,204299.80000000002,22.69997777777778
69,2017,10,HDFCBANK,2017-01-02,2017-12-29,598.55,936.2,167,56387.55000000002,260687.35000000003,26.068735000000004
70,2017,11,ADANIPORTS,2017-01-02,2017-12-29,273.8,405.65,365,48125.249999999985,308812.60000000003,28.07387272727273
71,2017,12,TECHM,2017-01-02,2017-12-29,488.0,504.05,204,3274.2000000000025,312086.80000000005,26.007233333333335
72,2017,13,GAIL,2017-01-02,2017-12-29,81.59,124.91,1225,53066.99999999999,365153.80000000005,28.088753846153853
73,2017,14,AXISBANK,2017-01-02,2017-12-29,447.75,563.95,223,25912.60000000001,391066.4000000001,27.93331428571429
74,2017,15,CHOLAFIN,2017-01-02,2017-12-29,189.99,259.91,526,36777.920000000006,427844.32000000007,28.52295466666667
75,2017,16,APOLLOHOSP,2017-01-02,2017-12-29,1189.2,1204.8,84,1310.3999999999924,429154.72000000003,26.82217
76,2017,17,HEROMOTOCO,2017-01-02,2017-12-29,3030.55,3785.15,32,24147.199999999997,453301.92000000004,26.664818823529412
77,2017,18,NESTLEIND,2017-01-02,2017-12-29,5974.4,7870.9,16,30344.0,483645.92000000004,26.86921777777778
78,2017,19,KOTAKBANK,2017-01-02,2017-12-29,714.8,1010.2,139,41060.60000000001,524706.52,27.61613263157895
79,2017,20,UPL,2017-01-02,2017-12-29,439.1,508.47,227,15746.990000000002,540453.51,27.0226755
80,2017,21,GODREJCP,2017-01-02,2017-12-29,507.3,666.3,197,31322.99999999999,571776.51,27.227452857142858
81,2017,22,PNB,2017-01-02,2017-12-29,115.6,171.4,865,48267.00000000001,620043.51,28.183795909090907
82,2017,23,PIIND,2017-01-02,2017-12-29,826.85,962.5,120,16277.999999999996,636321.51,27.666152608695654
83,2017,24,ICICIBANK,2017-01-02,2017-12-29,229.05,314.0,436,37038.2,673359.71,28.05665458333333
84,2017,25,SHREECEM,2017-01-02,2017-12-29,14517.6,18074.5,6,21341.399999999998,694701.11,27.7880444
85,2017,26,TATAMTRDVR,2017-01-02,2017-12-29,308.55,244.1,324,-20881.800000000007,673819.3099999999,25.916127307692307
86,2017,27,PGHH,2017-01-02,2017-12-29,6994.7,9395.8,14,33615.399999999994,707434.71,26.201285555555554
87,2017,28,JINDALSTEL,2017-01-02,2017-12-29,70.35,205.05,1421,191408.7,898843.4099999999,32.101550357142855
88,2017,29,LTIM,2017-01-02,2017-12-29,680.3,1118.85,146,64028.299999999996,962871.71,33.20247275862069
89,2017,30,NTPC,2017-01-02,2017-12-29,137.33,147.5,728,7403.759999999991,970275.47,32.342515666666664
90,2018,1,IOC,2018-01-01,2018-12-28,129.98,92.13,769,-29106.649999999994,-29106.649999999994,-29.106649999999995
91,2018,2,SUNPHARMA,2018-01-01,2018-12-28,574.05,425.2,174,-25899.899999999994,-55006.54999999999,-27.503274999999995
92,2018,3,M&M,2018-01-01,2018-12-28,744.65,803.55,134,7892.599999999997,-47113.94999999999,-15.704649999999997
93,2018,4,NESTLEIND,2018-01-01,2018-12-28,7863.2,11258.6,12,40744.8,-6369.149999999987,-1.5922874999999967
94,2018,5,KOTAKBANK,2018-01-01,2018-12-28,999.95,1241.35,100,24139.999999999985,17770.85,3.5541699999999996
95,2018,6,AMBUJACEM,2018-01-01,2018-12-28,268.05,220.95,373,-17568.30000000001,202.54999999998836,0.03375833333333139
96,2018,7,HAVELLS,2018-01-01,2018-12-28,554.45,690.1,180,24416.999999999996,24619.549999999985,3.517078571428569
97,2018,8,TATACONSUM,2018-01-01,2018-12-28,312.9,220.8,319,-29379.89999999999,-4760.350000000006,-0.5950437500000006
98,2018,9,BOSCHLTD,2018-01-01,2018-12-28,19791.9,19629.75,5,-810.7500000000073,-5571.100000000013,-0.6190111111111125
99,2018,10,DIVISLAB,2018-01-01,2018-12-28,1099.05,1467.2,90,33133.50000000001,27562.399999999994,2.7562399999999996
100,2018,11,BAJAJFINSV,2018-01-01,2018-12-28,517.18,650.29,193,25690.230000000003,53252.63,4.841148181818181
101,2018,12,PIDILITIND,2018-01-01,2018-12-28,900.0,1101.95,111,22416.450000000004,75669.08,6.3057566666666665
102,2018,13,TATAMOTORS,2018-01-01,2018-12-28,424.45,170.85,235,-59596.0,16073.080000000002,1.2363907692307694
103,2018,14,INDIGO,2018-01-01,2018-12-28,1203.0,1178.5,83,-2033.5,14039.580000000002,1.002827142857143
104,2018,15,TATASTEEL,2018-01-01,2018-12-28,72.2,51.28,1385,-28974.2,-14934.619999999999,-0.9956413333333333
105,2018,16,NTPC,2018-01-01,2018-12-28,147.12,124.88,679,-15100.960000000006,-30035.580000000005,-1.8772237500000004
106,2018,17,DRREDDY,2018-01-01,2018-12-28,2404.15,2621.9,41,8927.75,-21107.830000000005,-1.2416370588235297
107,2018,18,BPCL,2018-01-01,2018-12-28,508.6,361.9,196,-28753.200000000008,-49861.03000000001,-2.770057222222223
108,2018,19,BANKBARODA,2018-01-01,2018-12-28,161.5,118.35,619,-26709.850000000002,-76570.88000000002,-4.030046315789475
109,2018,20,MARUTI,2018-01-01,2018-12-28,9651.9,7505.55,10,-21463.499999999993,-98034.38,-4.901719
110,2018,21,HEROMOTOCO,2018-01-01,2018-12-28,3749.1,3122.6,26,-16289.0,-114323.38,-5.443970476190477
111,2018,22,PNB,2018-01-01,2018-12-28,169.75,78.45,589,-53775.7,-168099.08000000002,-7.640867272727274
112,2018,23,TITAN,2018-01-01,2018-12-28,852.45,922.7,117,8219.25,-159879.83000000002,-6.951296956521739
113,2018,24,CANBK,2018-01-01,2018-12-28,360.7,277.45,277,-23060.25,-182940.08000000002,-7.622503333333334
114,2018,25,TORNTPHARM,2018-01-01,2018-12-28,695.22,889.65,143,27803.489999999994,-155136.59000000003,-6.205463600000001
115,2018,26,SBIN,2018-01-01,2018-12-28,307.1,294.8,325,-3997.5000000000036,-159134.09000000003,-6.1205419230769245
116,2018,27,ICICIGI,2018-01-01,2018-12-28,795.5,850.65,125,6893.749999999997,-152240.34000000003,-5.638531111111112
117,2018,28,HINDALCO,2018-01-01,2018-12-28,271.15,223.5,368,-17535.19999999999,-169775.54,-6.0634121428571435
118,2018,29,TECHM,2018-01-01,2018-12-28,503.1,714.0,198,41758.2,-128017.34000000001,-4.414391034482759
119,2018,30,RELIANCE,2018-01-01,2018-12-28,901.21,1114.98,110,23514.699999999997,-104502.64000000001,-3.4834213333333337
120,2019,1,BHARTIARTL,2019-01-01,2019-12-30,293.36,460.5,340,56827.6,56827.6,56.827600000000004
121,2019,2,GAIL,2019-01-01,2019-12-30,120.72,79.27,828,-34320.600000000006,22506.999999999993,11.253499999999997
122,2019,3,ICICIGI,2019-01-01,2019-12-30,873.25,1386.75,114,58539.0,81046.0,27.015333333333334
123,2019,4,HINDALCO,2019-01-01,2019-12-30,222.75,217.95,448,-2150.400000000005,78895.59999999999,19.723899999999997
124,2019,5,BPCL,2019-01-01,2019-12-30,367.2,493.05,272,34231.200000000004,113126.79999999999,22.625359999999997
125,2019,6,RELIANCE,2019-01-01,2019-12-30,1110.47,1529.7,90,37730.700000000004,150857.5,25.142916666666665
126,2019,7,ADANIPORTS,2019-01-01,2019-12-30,389.0,365.95,257,-5923.850000000003,144933.65,20.704807142857142
127,2019,8,MARICO,2019-01-01,2019-12-30,372.3,342.65,268,-7946.200000000009,136987.44999999998,17.12343125
128,2019,9,ONGC,2019-01-01,2019-12-30,148.5,127.95,673,-13830.149999999998,123157.29999999999,13.684144444444444
129,2019,10,ITC,2019-01-01,2019-12-30,282.7,238.2,353,-15708.5,107448.79999999999,10.744879999999998
130,2019,11,TCS,2019-01-01,2019-12-30,1902.8,2183.2,52,14580.799999999992,122029.59999999998,11.093599999999999
131,2019,12,HINDUNILVR,2019-01-01,2019-12-30,1801.1,1937.25,55,7488.2500000000055,129517.84999999998,10.793154166666664
132,2019,13,SHRIRAMFIN,2019-01-01,2019-12-30,1229.75,1162.8,81,-5422.9500000000035,124094.89999999998,9.545761538461536
133,2019,14,DLF,2019-01-01,2019-12-30,180.3,233.25,554,29334.299999999992,153429.19999999998,10.95922857142857
134,2019,15,CANBK,2019-01-01,2019-12-30,281.5,221.75,355,-21211.25,132217.94999999998,8.814529999999998
135,2019,16,LTIM,2019-01-01,2019-12-30,1713.45,1775.9,58,3622.1000000000026,135840.05,8.490003125
