,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,COALINDIA,2015-01-01,2015-12-30,380.05,322.1,263,-15240.849999999997,-15240.849999999997,-15.240849999999998
1,2015,2,SIEMENS,2015-01-01,2015-12-30,906.7,1193.65,110,31564.500000000004,16323.650000000007,8.161825000000004
2,2015,3,ZYDUSLIFE,2015-01-01,2015-12-30,322.4,384.25,310,19173.500000000007,35497.150000000016,11.83238333333334
3,2015,4,JSWSTEEL,2015-01-01,2015-12-30,106.59,102.75,938,-3601.9200000000033,31895.230000000014,7.973807500000003
4,2015,5,BAJAJFINSV,2015-01-01,2015-12-30,128.66,194.63,777,51258.69,83153.92000000001,16.630784000000002
5,2015,6,HDFCBANK,2015-01-01,2015-12-30,476.02,537.15,210,12837.3,95991.22000000002,15.998536666666668
6,2015,7,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,104492.77000000002,14.927538571428576
7,2015,8,COLPAL,2015-01-01,2015-12-30,902.93,972.75,110,7680.200000000005,112172.97000000003,14.021621250000004
8,2015,9,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,86660.73000000004,9.628970000000004
9,2015,10,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,105382.73000000004,10.538273000000004
10,2015,11,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,109325.93000000005,9.938720909090913
11,2015,12,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,128289.43000000005,10.690785833333337
12,2015,13,TRENT,2015-01-01,2015-12-30,148.29,175.83,674,18561.960000000014,146851.39000000007,11.296260769230775
13,2015,14,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,156287.37000000008,11.163383571428577
14,2015,15,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,169396.62000000008,11.293108000000005
15,2015,16,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,154912.92000000007,9.682057500000004
16,2015,17,BAJAJHLDNG,2015-01-01,2015-12-30,1407.1,1650.1,71,17253.0,172165.92000000007,10.127407058823533
17,2015,18,BAJAJ-AUTO,2015-01-01,2015-12-30,2452.15,2514.05,40,2476.0000000000036,174641.92000000007,9.702328888888893
18,2015,19,NTPC,2015-01-01,2015-12-30,118.71,120.88,842,1827.1400000000015,176469.06000000008,9.2878452631579
19,2015,20,MARUTI,2015-01-01,2015-12-30,3340.75,4587.2,29,36147.049999999996,212616.11000000007,10.630805500000005
20,2015,21,BANKBARODA,2015-01-01,2015-12-30,216.61,156.1,461,-27895.110000000008,184721.00000000006,8.796238095238099
21,2015,22,TORNTPHARM,2015-01-01,2015-12-30,572.75,729.05,174,27196.199999999993,211917.20000000004,9.632600000000002
22,2015,23,TATAMOTORS,2015-01-01,2015-12-30,493.16,393.45,202,-20141.420000000006,191775.78000000003,8.338077391304349
23,2015,24,TATASTEEL,2015-01-01,2015-12-30,40.43,25.86,2473,-36031.61,155744.17000000004,6.489340416666669
24,2015,25,POWERGRID,2015-01-01,2015-12-30,77.31,79.51,1293,2844.6000000000035,158588.77000000005,6.343550800000002
25,2015,26,TVSMOTOR,2015-01-01,2015-12-30,277.55,290.25,360,4571.999999999996,163160.77000000005,6.275414230769233
26,2015,27,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,167674.77000000005,6.210176666666668
27,2015,28,TATAMTRDVR,2015-01-01,2015-12-30,331.19,289.9,301,-12428.290000000006,155246.48000000004,5.544517142857145
28,2015,29,INFY,2015-01-01,2015-12-30,493.6,543.15,202,10009.099999999991,165255.58000000002,5.698468275862069
29,2015,30,HCLTECH,2015-01-01,2015-12-30,401.7,420.25,248,4600.400000000003,169855.98,5.661866
30,2016,1,ADANIPORTS,2016-01-01,2016-12-30,267.55,268.45,373,335.6999999999915,335.6999999999915,0.3356999999999915
31,2016,2,CIPLA,2016-01-01,2016-12-30,655.35,568.8,152,-13155.60000000001,-12819.900000000018,-6.409950000000009
32,2016,3,AMBUJACEM,2016-01-01,2016-12-30,205.65,206.3,486,315.90000000000276,-12504.000000000015,-4.168000000000005
33,2016,4,TATACONSUM,2016-01-01,2016-12-30,146.4,122.0,683,-16665.200000000004,-29169.20000000002,-7.2923000000000044
34,2016,5,TITAN,2016-01-01,2016-12-30,352.05,326.8,284,-7171.0,-36340.20000000002,-7.268040000000004
35,2016,6,VBL,2016-11-08,2016-12-30,68.07,56.38,1469,-17172.609999999986,-53512.810000000005,-8.918801666666667
36,2016,7,HINDALCO,2016-01-01,2016-12-30,84.9,155.05,1177,82566.55,29053.739999999998,4.1505342857142855
37,2016,8,ICICIBANK,2016-01-01,2016-12-30,239.09,232.09,418,-2926.0,26127.739999999998,3.2659675
38,2016,9,TATAPOWER,2016-01-01,2016-12-30,68.95,75.9,1450,10077.500000000004,36205.240000000005,4.0228044444444455
39,2016,10,MARUTI,2016-01-01,2016-12-30,4638.5,5319.55,21,14302.050000000003,50507.29000000001,5.050729000000001
