,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,COLPAL,2015-01-01,2015-12-30,902.93,972.75,110,7680.200000000005,7680.200000000005,7.6802000000000055
1,2015,2,AXISBANK,2015-01-01,2015-12-30,503.05,455.1,198,-9494.099999999999,-1813.8999999999933,-0.9069499999999966
2,2015,3,SBIN,2015-01-01,2015-12-30,314.0,225.8,318,-28047.599999999995,-29861.49999999999,-9.95383333333333
3,2015,4,NESTLEIND,2015-01-01,2015-12-30,6317.95,5839.85,15,-7171.499999999992,-37032.99999999998,-9.258249999999995
4,2015,5,APOLLOHOSP,2015-01-01,2015-12-30,1125.9,1462.15,88,29590.0,-7442.999999999978,-1.4885999999999957
5,2015,6,JINDALSTEL,2015-01-01,2015-12-30,156.55,94.85,638,-39364.60000000001,-46807.59999999999,-7.801266666666665
6,2015,7,TRENT,2015-01-01,2015-12-30,148.29,175.83,674,18561.960000000014,-28245.639999999978,-4.035091428571425
7,2015,8,SUNPHARMA,2015-01-01,2015-12-30,822.2,810.15,121,-1458.0500000000084,-29703.689999999988,-3.7129612499999984
8,2015,9,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,-28672.209999999995,-3.1858011111111106
9,2015,10,CHOLAFIN,2015-01-01,2015-12-30,94.6,128.35,1057,35673.75,7001.5400000000045,0.7001540000000005
10,2015,11,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,-875.3099999999922,-0.07957363636363567
11,2015,12,COALINDIA,2015-01-01,2015-12-30,380.05,322.1,263,-15240.849999999997,-16116.159999999989,-1.3430133333333325
12,2015,13,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,-41628.39999999998,-3.202184615384614
13,2015,14,CIPLA,2015-01-01,2015-12-30,628.4,653.2,159,3943.2000000000107,-37685.19999999997,-2.6917999999999975
14,2015,15,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,-40859.94999999997,-2.7239966666666646
15,2015,16,ADANIPORTS,2015-01-01,2015-12-30,319.55,261.75,312,-18033.600000000002,-58893.549999999974,-3.680846874999998
16,2015,17,TECHM,2015-01-01,2015-12-30,648.64,525.15,154,-19017.460000000003,-77911.00999999998,-4.583000588235293
17,2015,18,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,-73397.00999999998,-4.077611666666665
18,2015,19,MARUTI,2015-01-01,2015-12-30,3340.75,4587.2,29,36147.049999999996,-37249.959999999985,-1.960524210526315
19,2015,20,MUTHOOTFIN,2015-01-01,2015-12-30,214.4,178.8,466,-16589.6,-53839.55999999998,-2.691977999999999
20,2015,21,PNB,2015-01-01,2015-12-30,219.65,117.8,455,-46341.75000000001,-100181.31,-4.770538571428571
21,2015,22,DLF,2015-01-01,2015-12-30,137.4,113.9,727,-17084.5,-117265.81,-5.330264090909091
22,2015,23,SHRIRAMFIN,2015-01-01,2015-12-30,1102.35,850.6,90,-22657.49999999999,-139923.31,-6.083622173913043
23,2015,24,INFY,2015-01-01,2015-12-30,493.6,543.15,202,10009.099999999991,-129914.21,-5.413092083333334
24,2015,25,PIDILITIND,2015-01-01,2015-12-30,549.25,550.4,182,209.29999999999586,-129704.91,-5.188196400000001
25,2015,26,VEDL,2015-01-01,2015-12-30,219.25,91.95,456,-58048.799999999996,-187753.71,-7.221296538461538
26,2015,27,INDUSINDBK,2015-01-01,2015-12-30,812.0,968.55,123,19255.649999999994,-168498.06,-6.240668888888889
27,2015,28,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,-149776.06,-5.349145
28,2015,29,AMBUJACEM,2015-01-01,2015-12-30,227.75,204.95,439,-10009.200000000004,-159785.26,-5.509836551724138
29,2015,30,TATASTEEL,2015-01-01,2015-12-30,40.43,25.86,2473,-36031.61,-195816.87,-6.527228999999999
30,2016,1,COALINDIA,2016-01-01,2016-12-30,334.05,300.0,299,-10180.950000000003,-10180.950000000003,-10.180950000000003
31,2016,2,BPCL,2016-01-01,2016-12-30,298.69,423.67,334,41743.32000000001,31562.370000000003,15.781185
32,2016,3,PIDILITIND,2016-01-01,2016-12-30,555.5,589.8,180,6173.999999999992,37736.369999999995,12.578789999999998
33,2016,4,ABB,2016-01-01,2016-12-30,1116.45,1043.75,89,-6470.300000000004,31266.069999999992,7.816517499999998
34,2016,5,PGHH,2016-01-01,2016-12-30,5603.25,7084.05,17,25173.600000000002,56439.67,11.287934
35,2016,6,UPL,2016-01-01,2016-12-30,293.57,431.33,340,46838.399999999994,103278.06999999999,17.213011666666667
36,2016,7,VEDL,2016-01-01,2016-12-30,91.65,216.15,1091,135829.5,239107.57,34.15822428571429
37,2016,8,DABUR,2016-01-01,2016-12-30,276.4,278.15,361,631.75,239739.32,29.967415000000003
38,2016,9,INDUSINDBK,2016-01-01,2016-12-30,963.85,1107.9,103,14837.150000000007,254576.47,28.28627444444444
39,2016,10,SHRIRAMFIN,2016-01-01,2016-12-30,865.7,853.45,115,-1408.75,253167.72,25.316772
40,2016,11,TATAMTRDVR,2016-01-01,2016-12-30,296.6,299.1,337,842.5,254010.22,23.09183818181818
41,2016,12,TRENT,2016-01-01,2016-12-30,175.31,200.4,570,14301.300000000001,268311.52,22.359293333333337
42,2016,13,TATACONSUM,2016-01-01,2016-12-30,146.4,122.0,683,-16665.200000000004,251646.32,19.357409230769232
43,2016,14,PIIND,2016-01-01,2016-12-30,663.15,831.1,150,25192.500000000007,276838.82,19.774201428571427
44,2016,15,ADANIENT,2016-01-01,2016-12-30,90.1,76.55,1109,-15026.949999999997,261811.87,17.45412466666667
45,2016,16,TCS,2016-01-01,2016-12-30,1208.2,1182.78,82,-2084.440000000006,259727.43,16.232964375
46,2016,17,SHREECEM,2016-01-01,2016-12-30,11383.55,14733.4,8,26798.800000000003,286526.23,16.854484117647058
47,2016,18,WIPRO,2016-01-01,2016-12-30,208.67,177.92,479,-14729.25,271796.98,15.09983222222222
48,2016,19,BAJAJHLDNG,2016-01-01,2016-12-30,1677.1,1819.35,59,8392.75,280189.73,14.74682789473684
49,2016,20,AXISBANK,2016-01-01,2016-12-30,449.9,449.95,222,11.100000000002524,280200.82999999996,14.010041499999998
50,2016,21,VBL,2016-11-08,2016-12-30,68.07,56.38,1469,-17172.609999999986,263028.22,12.525153333333334
51,2016,22,ICICIBANK,2016-01-01,2016-12-30,239.09,232.09,418,-2926.0,260102.21999999997,11.822828181818181
52,2016,23,ASIANPAINT,2016-01-01,2016-12-30,878.75,891.05,113,1389.8999999999949,261492.11999999997,11.369222608695651
53,2016,24,BHARTIARTL,2016-01-01,2016-12-30,312.64,280.64,319,-10208.0,251284.11999999997,10.470171666666666
