,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,SBIN,2015-01-01,2015-12-30,314.0,225.8,318,-28047.599999999995,-28047.599999999995,-28.047599999999996
1,2015,2,DIVISLAB,2015-01-01,2015-12-30,872.73,1158.6,114,32589.179999999986,4541.579999999991,2.2707899999999954
2,2015,3,HDFCBANK,2015-01-01,2015-12-30,476.02,537.15,210,12837.3,17378.87999999999,5.792959999999997
3,2015,4,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,53086.87999999999,13.271719999999998
4,2015,5,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,89342.16,17.868432000000002
5,2015,6,ADANIPORTS,2015-01-01,2015-12-30,319.55,261.75,312,-18033.600000000002,71308.56,11.88476
6,2015,7,APOLLOHOSP,2015-01-01,2015-12-30,1125.9,1462.15,88,29590.0,100898.56,14.414079999999998
7,2015,8,TATAMTRDVR,2015-01-01,2015-12-30,331.19,289.9,301,-12428.290000000006,88470.26999999999,11.058783749999998
8,2015,9,TRENT,2015-01-01,2015-12-30,148.29,175.83,674,18561.960000000014,107032.23000000001,11.892470000000001
9,2015,10,BEL,2015-01-01,2015-12-30,29.69,40.98,3368,38024.71999999999,145056.95,14.505695000000001
10,2015,11,TATASTEEL,2015-01-01,2015-12-30,40.43,25.86,2473,-36031.61,109025.34000000001,9.911394545454547
11,2015,12,BANKBARODA,2015-01-01,2015-12-30,216.61,156.1,461,-27895.110000000008,81130.23000000001,6.7608525
12,2015,13,AMBUJACEM,2015-01-01,2015-12-30,227.75,204.95,439,-10009.200000000004,71121.03,5.470848461538461
13,2015,14,SUNPHARMA,2015-01-01,2015-12-30,822.2,810.15,121,-1458.0500000000084,69662.98,4.9759271428571425
14,2015,15,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,78164.53,5.210968666666667
15,2015,16,TATAPOWER,2015-01-01,2015-12-30,82.15,67.75,1217,-17524.800000000007,60639.729999999996,3.7899831249999996
16,2015,17,TECHM,2015-01-01,2015-12-30,648.64,525.15,154,-19017.460000000003,41622.26999999999,2.448368823529411
17,2015,18,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,54731.51999999999,3.0406399999999993
18,2015,19,NAUKRI,2015-01-01,2015-12-30,855.75,862.7,116,806.2000000000053,55537.719999999994,2.923037894736842
19,2015,20,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,51137.47,2.5568735
20,2015,21,BAJAJ-AUTO,2015-01-01,2015-12-30,2452.15,2514.05,40,2476.0000000000036,53613.47,2.553022380952381
21,2015,22,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,50438.72,2.292669090909091
22,2015,23,DLF,2015-01-01,2015-12-30,137.4,113.9,727,-17084.5,33354.22,1.4501834782608696
23,2015,24,ULTRACEMCO,2015-01-01,2015-12-30,2662.5,2784.5,37,4514.0,37868.22,1.5778425000000003
24,2015,25,SRF,2015-01-01,2015-12-30,175.28,253.91,570,44819.1,82687.32,3.3074928000000003
25,2015,26,LT,2015-01-01,2015-12-30,1001.97,855.67,99,-14483.700000000006,68203.62,2.623216153846154
26,2015,27,DRREDDY,2015-01-01,2015-12-30,3210.5,3121.15,31,-2769.849999999997,65433.77,2.423472962962963
27,2015,28,GODREJCP,2015-01-01,2015-12-30,321.97,426.68,310,32460.099999999995,97893.87,3.4962096428571425
28,2015,29,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,98925.34999999999,3.411218965517241
29,2015,30,ICICIBANK,2015-01-01,2015-12-30,320.27,238.5,312,-25512.239999999994,73413.11,2.447103666666667
30,2016,1,BRITANNIA,2016-01-01,2016-12-30,1493.2,1443.15,66,-3303.299999999997,-3303.299999999997,-3.303299999999997
31,2016,2,LT,2016-01-01,2016-12-30,859.47,899.4,116,4631.879999999994,1328.5799999999967,0.6642899999999984
32,2016,3,APOLLOHOSP,2016-01-01,2016-12-30,1460.8,1179.9,68,-19101.19999999999,-17772.61999999999,-5.924206666666664
33,2016,4,ASIANPAINT,2016-01-01,2016-12-30,878.75,891.05,113,1389.8999999999949,-16382.719999999998,-4.09568
34,2016,5,TCS,2016-01-01,2016-12-30,1208.2,1182.78,82,-2084.440000000006,-18467.160000000003,-3.6934320000000005
35,2016,6,ADANIPORTS,2016-01-01,2016-12-30,267.55,268.45,373,335.6999999999915,-18131.460000000014,-3.0219100000000023
36,2016,7,COLPAL,2016-01-01,2016-12-30,976.75,904.6,102,-7359.299999999997,-25490.76000000001,-3.6415371428571444
37,2016,8,CANBK,2016-01-01,2016-12-30,231.78,255.71,431,10313.830000000004,-15176.930000000006,-1.8971162500000007
38,2016,9,BPCL,2016-01-01,2016-12-30,298.69,423.67,334,41743.32000000001,26566.39,2.951821111111111
39,2016,10,COALINDIA,2016-01-01,2016-12-30,334.05,300.0,299,-10180.950000000003,16385.439999999995,1.6385439999999993
40,2016,11,DIVISLAB,2016-01-01,2016-12-30,1162.5,783.7,86,-32576.799999999996,-16191.36,-1.4719418181818182
41,2016,12,TECHM,2016-01-01,2016-12-30,520.05,488.9,192,-5980.799999999996,-22172.159999999996,-1.8476799999999998
42,2016,13,MARICO,2016-01-01,2016-12-30,227.15,260.45,440,14651.999999999993,-7520.1600000000035,-0.5784738461538463
