,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,TCS,2015-01-01,2015-12-30,1272.78,1209.15,78,-4963.13999999999,-4963.13999999999,-4.96313999999999
1,2015,2,SIEMENS,2015-01-01,2015-12-30,906.7,1193.65,110,31564.500000000004,26601.360000000015,13.300680000000007
2,2015,3,PIIND,2015-01-01,2015-12-30,537.9,639.1,185,18722.000000000007,45323.36000000002,15.107786666666675
3,2015,4,IOC,2015-01-01,2015-12-30,56.08,70.98,1783,26566.70000000001,71890.06000000003,17.972515000000005
4,2015,5,ASIANPAINT,2015-01-01,2015-12-30,749.15,878.15,133,17157.0,89047.06000000003,17.809412000000005
5,2015,6,DABUR,2015-01-01,2015-12-30,232.4,275.0,430,18317.999999999996,107365.06000000003,17.894176666666674
6,2015,7,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,143620.34000000003,20.517191428571433
7,2015,8,DLF,2015-01-01,2015-12-30,137.4,113.9,727,-17084.5,126535.84000000003,15.816980000000003
8,2015,9,BEL,2015-01-01,2015-12-30,29.69,40.98,3368,38024.71999999999,164560.56,18.284506666666665
9,2015,10,PGHH,2015-01-01,2015-12-30,5811.1,5624.35,17,-3174.75,161385.81,16.138581
10,2015,11,TVSMOTOR,2015-01-01,2015-12-30,277.55,290.25,360,4571.999999999996,165957.81,15.087073636363634
11,2015,12,BAJAJHLDNG,2015-01-01,2015-12-30,1407.1,1650.1,71,17253.0,183210.81,15.267567500000002
12,2015,13,MARICO,2015-01-01,2015-12-30,161.93,225.5,617,39222.689999999995,222433.5,17.11026923076923
13,2015,14,VEDL,2015-01-01,2015-12-30,219.25,91.95,456,-58048.799999999996,164384.7,11.741764285714286
14,2015,15,DIVISLAB,2015-01-01,2015-12-30,872.73,1158.6,114,32589.179999999986,196973.88,13.131592
15,2015,16,INDUSINDBK,2015-01-01,2015-12-30,812.0,968.55,123,19255.649999999994,216229.53,13.514345624999999
16,2015,17,SHREECEM,2015-01-01,2015-12-30,9377.55,11273.9,10,18963.500000000004,235193.03,13.834884117647059
17,2015,18,BHARTIARTL,2015-01-01,2015-12-30,333.21,305.85,300,-8207.999999999987,226985.03,12.610279444444444
18,2015,19,SHRIRAMFIN,2015-01-01,2015-12-30,1102.35,850.6,90,-22657.49999999999,204327.53,10.75408052631579
19,2015,20,INDIGO,2015-11-10,2015-12-30,877.25,1193.25,113,35708.0,240035.53,12.0017765
20,2015,21,RELIANCE,2015-01-01,2015-12-30,439.78,497.53,227,13109.25,253144.78,12.054513333333333
21,2015,22,NESTLEIND,2015-01-01,2015-12-30,6317.95,5839.85,15,-7171.499999999992,245973.28,11.180603636363637
22,2015,23,ADANIPORTS,2015-01-01,2015-12-30,319.55,261.75,312,-18033.600000000002,227939.68,9.910420869565218
23,2015,24,TATACONSUM,2015-01-01,2015-12-30,150.7,146.35,663,-2884.049999999996,225055.63,9.377317916666666
24,2015,25,TATASTEEL,2015-01-01,2015-12-30,40.43,25.86,2473,-36031.61,189024.02000000002,7.560960800000001
25,2015,26,BOSCHLTD,2015-01-01,2015-12-30,19454.1,18574.05,5,-4400.249999999996,184623.77000000002,7.100914230769232
26,2015,27,GRASIM,2015-01-01,2015-12-30,680.5,745.13,146,9435.98,194059.75000000003,7.18739814814815
27,2015,28,PNB,2015-01-01,2015-12-30,219.65,117.8,455,-46341.75000000001,147718.00000000003,5.2756428571428575
