,year,symbol#,symbol,entry_date,exit_date,entry_price,exit_price,no_of_shares,return,cummulative_return,cummulative_roi
0,2015,1,HAVELLS,2015-01-01,2015-12-30,276.3,299.85,361,8501.550000000005,8501.550000000005,8.501550000000005
1,2015,2,BANKBARODA,2015-01-01,2015-12-30,216.61,156.1,461,-27895.110000000008,-19393.560000000005,-9.696780000000002
2,2015,3,BERGEPAINT,2015-01-01,2015-12-30,120.64,158.69,828,31505.399999999998,12111.839999999993,4.037279999999998
3,2015,4,EICHERMOT,2015-01-01,2015-12-30,1526.24,1652.98,65,8238.1,20349.939999999995,5.087484999999998
4,2015,5,TVSMOTOR,2015-01-01,2015-12-30,277.55,290.25,360,4571.999999999996,24921.93999999999,4.984387999999998
5,2015,6,SRF,2015-01-01,2015-12-30,175.28,253.91,570,44819.1,69741.04,11.623506666666666
6,2015,7,CHOLAFIN,2015-01-01,2015-12-30,94.6,128.35,1057,35673.75,105414.79,15.059255714285714
7,2015,8,TATAPOWER,2015-01-01,2015-12-30,82.15,67.75,1217,-17524.800000000007,87889.98999999999,10.98624875
8,2015,9,BRITANNIA,2015-01-01,2015-12-30,915.75,1488.05,109,62380.7,150270.69,16.696743333333334
9,2015,10,CANBK,2015-01-01,2015-12-30,436.97,230.42,228,-47093.40000000001,103177.29,10.317729
10,2015,11,DABUR,2015-01-01,2015-12-30,232.4,275.0,430,18317.999999999996,121495.29,11.045026363636364
11,2015,12,ITC,2015-01-01,2015-12-30,244.77,217.7,408,-11044.560000000009,110450.72999999998,9.204227499999998
12,2015,13,NTPC,2015-01-01,2015-12-30,118.71,120.88,842,1827.1400000000015,112277.86999999998,8.63675923076923
13,2015,14,TITAN,2015-01-01,2015-12-30,379.8,349.85,263,-7876.849999999997,104401.01999999999,7.457215714285713
14,2015,15,BPCL,2015-01-01,2015-12-30,218.07,297.23,458,36255.28000000001,140656.3,9.377086666666665
15,2015,16,WIPRO,2015-01-01,2015-12-30,207.15,209.29,482,1031.4799999999934,141687.77999999997,8.855486249999998
